topic,keyword,importance
1,drug,0.037770014
1,cell,0.022776304
1,assay,0.012192648
1,model,0.011290363
1,disease,0.010359309
1,human,0.010081385
1,platform,0.0095210895
1,development,0.008854807
1,gene,0.007308058
1,screening,0.007175618
1,inhibitor,0.0066206343
1,throughput,0.0065786215
1,target,0.0063127014
1,compound,0.005902563
1,enzyme,0.0057828305
1,lead,0.005763293
1,therapeutic,0.0056755925
1,efficacy,0.0054606814
1,discovery,0.0052099945
1,culture,0.0051023923
1,stem,0.005038517
1,identify,0.0047700577
1,treatment,0.0047138683
1,novel,0.0044941767
1,exist,0.0044530723
1,function,0.0043441188
1,new,0.004282751
1,associate,0.0039966516
1,animal,0.00399277
1,computational,0.003941515
2,chip,0.013420399
2,cell,0.012433135
2,kidney,0.009604738
2,patient,0.009201829
2,research,0.009186043
2,model,0.008159083
2,feature,0.007940722
2,kinase,0.006880035
2,specific,0.006382024
2,implement,0.0061283847
2,community,0.005877337
2,image,0.005841824
2,rural,0.005771774
2,human,0.0055598607
2,device,0.004927464
2,practice,0.0049193464
2,rate,0.0048628883
2,represent,0.0048323646
2,protocol,0.004757967
2,health,0.004703341
2,serve,0.0044776774
2,drug,0.00446687
2,sufficient,0.0043650065
2,fluid,0.0041260715
2,culture,0.004052272
2,conventional,0.0039669494
2,proximal_tubule,0.0039567826
2,lesion,0.003956533
2,assay,0.0039333734
2,optical,0.0038681056
3,delivery,0.027617054
3,system,0.027596546
3,therapeutic,0.011784927
3,disease,0.010711523
3,target,0.009633555
3,platform,0.009203024
3,cost,0.00812105
3,formulation,0.008045347
3,technology,0.007869896
3,cargo,0.0074720755
3,tissue,0.0068610227
3,organ,0.0065771886
3,peptide,0.0065685986
3,gene,0.0063136085
3,deliver,0.005658574
3,vivo,0.005383123
3,combination,0.005245685
3,reduce,0.0051597687
3,injection,0.004914345
3,genetic,0.0049022166
3,microparticle,0.0046363757
3,application,0.0045844493
3,molecule,0.004568675
3,effective,0.0045606764
3,make,0.0044171955
3,validate,0.004383853
3,proof_concept,0.004380409
3,protein,0.0043698456
3,administration,0.0041799634
3,nanoparticle,0.0041698148
4,biologic,0.019616308
4,liver,0.016673665
4,product,0.011734218
4,device,0.009237479
4,induce,0.008770195
4,injury,0.008493736
4,sample,0.008440023
4,design,0.008311951
4,prototype,0.008246956
4,other,0.0076217954
4,project,0.0071901106
4,study,0.007077159
4,patient,0.006956658
4,structural,0.0067100585
4,cause,0.006339694
4,trial,0.0062379614
4,time,0.0058702473
4,test,0.0058611576
4,outcome,0.0054428363
4,dose,0.0052985116
4,multiplexed,0.005246745
4,base,0.005159433
4,need,0.0051418357
4,therapy,0.005131531
4,aim,0.005130833
4,risk,0.0050529484
4,simulation,0.004981598
4,assessment,0.0049385782
4,exosuit,0.0048801214
4,achieve,0.0048698266
5,cell,0.015284693
5,mixture,0.014449421
5,chemical,0.014222562
5,therapy,0.011677402
5,oligonucleotide,0.011551404
5,first,0.011052182
5,human,0.00827475
5,safety,0.0071039586
5,information,0.0069705
5,efficacy,0.0062190145
5,tumor,0.0059300796
5,format,0.005344314
5,deliver,0.005344039
5,study,0.0052699153
5,overcome,0.004930053
5,recognize,0.004812623
5,minchi,0.004757913
5,survival,0.0047575175
