topic,keyword,importance
1,drug,0.023808543
1,cell,0.016840875
1,gene,0.007945563
1,assay,0.0077962796
1,disease,0.006811203
1,model,0.006745977
1,human,0.006653577
1,target,0.0063167606
1,platform,0.0062064207
1,compound,0.0060779485
1,development,0.0058158734
1,lead,0.0046830247
1,receptor,0.0044207606
1,treatment,0.004364781
1,therapeutic,0.0043584523
1,therapy,0.004334536
1,protein,0.004234462
1,molecule,0.004079877
1,inhibitor,0.0039832555
1,screening,0.0038044227
1,study,0.0037573045
1,system,0.0037518772
1,well,0.0035068733
1,discovery,0.0034947216
1,throughput,0.0034650527
1,enable,0.003456632
1,culture,0.0034326431
1,enzyme,0.00314096
1,delivery,0.0031226212
1,efficacy,0.0031150104
2,patient,0.008942521
2,cell,0.008252057
2,device,0.007200194
2,research,0.00605179
2,production,0.0054042907
2,clinical,0.005349299
2,process,0.005316795
2,manufacturing,0.0047473945
2,scale,0.004064623
2,fiber,0.003922
2,chip,0.0037757768
2,technology,0.0035684586
2,trial,0.0035334812
2,blood,0.0033490397
2,therapy,0.0033260456
2,vaccine,0.0032483716
2,particle,0.0032145393
2,time,0.0030054199
2,virus,0.0029740408
2,product,0.0029369819
2,continuous,0.0029315874
2,user,0.0029045027
2,medical,0.0028634148
2,manufacture,0.0028451975
2,kidney,0.0028190617
2,vector,0.002813428
2,study,0.002746948
2,base,0.002737524
2,flow,0.002671115
2,test,0.002650557
3,system,0.008474401
3,technology,0.00821933
3,protein,0.007356282
3,delivery,0.0070791245
3,biologic,0.0065813963
3,cell,0.0058762394
3,platform,0.0058514955
3,liver,0.005660045
3,datum,0.005466846
3,therapeutic,0.0047952333
3,high,0.004342672
3,tissue,0.0037498092
3,chemical,0.0037038045
3,drug,0.0036963352
3,detection,0.003334485
3,cost,0.0030554214
3,induce,0.0030177098
3,large,0.0030078765
3,human,0.0029778748
3,approach,0.0029767577
3,potential,0.002892792
3,validate,0.0028590274
3,time,0.0028049988
3,therapy,0.0027409848
3,device,0.0027092155
3,assay,0.0026839562
3,patient,0.0025428708
3,formulation,0.002512942
3,disease,0.0024714237
3,deliver,0.0024530003
