topic,keyword,importance
1,patient,0.0986575
1,lung,0.03223218
1,prostate,0.028421624
1,surgical,0.022139179
1,lesion,0.017399855
1,nerve,0.016666112
1,tissue,0.015676262
1,biopsy,0.015674533
1,surgery,0.014427294
1,therapy,0.013208781
1,disease,0.012870283
1,device,0.011487231
1,diagnosis,0.010249353
1,intraoperative,0.009302692
1,radiation,0.009158595
1,procedure,0.00848014
1,margin,0.008452405
1,invasive,0.008228689
1,breast,0.007957538
1,significant,0.007915389
1,treatment,0.007913902
1,case,0.007864563
1,reduce,0.0077841966
1,imaging,0.00770349
1,unnecessary,0.0073457244
1,skin,0.0071652774
1,outcome,0.0066302563
1,non,0.0064308927
1,cohort,0.006377381
1,subject,0.0062749786
2,breast,0.14925534
2,woman,0.057502594
2,mammography,0.02747162
2,yet,0.025465118
2,mutate,0.01988566
2,tracer,0.018173603
2,superior,0.015859097
2,improve,0.015103074
2,ovarian,0.013878457
2,graft,0.011805243
2,platinum,0.010012078
2,save,0.009352778
2,aspect,0.008865457
2,shelf,0.008306517
2,near_infrare,0.008206419
2,monochromatic_ray,0.007649113
2,get,0.006816673
2,non_coplanar,0.0066881278
2,first,0.0063792206
2,compression,0.0062637026
2,fibrous,0.0059479917
2,harness,0.005637191
2,category,0.0053903023
2,screen,0.0052217036
2,field,0.005217408
2,robotic_radiotherapy,0.0051531442
2,different,0.005147372
2,screening,0.0048596384
2,gantry,0.004703345
2,qa,0.0046845297
3,sample,0.011667291
3,test,0.011560013
3,detection,0.011160202
3,image,0.010754847
3,imaging,0.010155406
3,assay,0.0096012745
3,cost,0.009142517
3,diagnostic,0.008893747
3,risk,0.008728905
3,device,0.008393907
3,datum,0.008279946
3,technology,0.008096165
3,platform,0.007847494
3,method,0.0077687628
3,aim,0.007482682
3,project,0.0073045534
3,performance,0.007267917
3,high,0.0071394024
3,analysis,0.006885682
3,software,0.006733165
3,market,0.0059436187
3,detect,0.00558285
3,biomarker,0.00556199
3,commercial,0.005421765
3,sequence,0.005388093
3,low,0.0051793507
3,early,0.0051595396
3,testing,0.0051493202
3,tool,0.0050736493
3,biopsy,0.0049159895
4,treatment,0.026330678
4,tissue,0.018765623
4,system,0.017733594
4,radiation,0.016896486
