topic,keyword,importance
1,patient,0.34222364
1,clinical,0.20749794
1,trial,0.054261602
1,therapy,0.025711179
1,treatment,0.018004091
1,efficacy,0.016418893
1,result,0.015950438
1,cohort,0.015294773
1,population,0.013759616
1,response,0.012760288
1,enrol,0.010836317
1,approximately,0.0100255525
1,median,0.009050033
1,disease,0.008963821
1,conduct,0.00793227
1,direct,0.0077712378
1,unnecessary,0.0074174185
1,child,0.007349032
1,surgical,0.007254135
1,residual,0.00609185
1,aggressive,0.005827712
1,fund,0.005366698
1,determine,0.0052686227
1,evaluable,0.00516007
1,radiotherapy,0.0040610684
1,open,0.0039193397
1,consist,0.0025734578
1,historically,0.0019022591
1,morbidity,0.0018921879
1,reduction,0.0017538795
2,breast,0.20583816
2,woman,0.1058939
2,mammography,0.037383057
2,improve,0.028120162
2,mutate,0.027056485
2,unnecessary,0.020647295
2,diagnosis,0.017986821
2,resolution,0.017256804
2,performance,0.016727824
2,detection,0.012482179
2,about,0.01203549
2,screening,0.010947766
2,digital,0.009578358
2,hardware,0.009205294
2,training,0.008922793
2,dimensional,0.008610377
2,compression,0.008513725
2,experience,0.0077064126
2,harness,0.007655753
2,lower,0.0075359843
2,number,0.0071140677
2,remote,0.0069174073
2,expert,0.0067515
2,disability,0.006009098
2,full,0.0059364075
2,prone,0.005873077
2,sensitivity,0.0057077007
2,dermatologist,0.005675572
2,exposure,0.005534514
2,biopsie,0.0055192853
3,skin,0.036320165
3,cost,0.026465813
3,care,0.025683261
3,device,0.022342669
3,health,0.020716818
3,nerve,0.020623574
3,reduce,0.01909892
3,testing,0.018771298
3,risk,0.0141898105
3,low,0.013822098
3,most,0.012438339
3,prevent,0.012408251
3,tolerability,0.012066034
3,screen,0.011713161
3,implant,0.01072585
3,practice,0.010202139
3,manufacture,0.010180791
3,screening,0.009922987
3,pilot,0.009492748
3,report,0.009438972
3,access,0.008751151
3,require,0.007821205
3,mortality,0.0072902157
3,incidence,0.0069170506
3,prevention,0.0069071203
3,record,0.0065950067
3,provider,0.0064990795
3,decrease,0.006493465
3,eliminate,0.006179969
3,infection,0.0060387566
4,time,0.04354192
4,method,0.03502803
4,technology,0.033848815
4,sequence,0.024730816
4,sample,0.022750601
4,dna,0.019314121
4,procedure,0.017733054
4,material,0.012370611
4,capture,0.011376785
4,processing,0.011038933
4,real,0.010961922
4,point,0.010369155
4,monitoring,0.009289394
4,allow,0.009152097
4,particular,0.008778026
4,challenge,0.008777608
4,clinician,0.008717273
4,device,0.008684634
4,large,0.008468605
4,efficient,0.008166466
4,number,0.0077125644
4,scale,0.0070188167
4,solution,0.0070161954
4,minimally_invasive,0.0068945945
4,suitable,0.0068093045
4,speed,0.0067331777
4,analysis,0.0066974885
4,compatible,0.0066382224
4,gold_standard,0.006531402
4,damage,0.0065092435
5,platform,0.05743562
5,fluorophore,0.05263722
5,splicing,0.04075645
5,identification,0.032759417
5,isoform,0.028370371
5,color,0.026186448
5,investigator,0.024927108
5,herein,0.02310803
5,considerably,0.021332707
5,radiologist,0.020908225
5,discovery,0.020356355
5,convenient,0.018120592
5,splice,0.016934654
5,interventional,0.0148143815
5,fluorescence,0.014519708
5,commercialization,0.013914494
5,pharmaceutical_company,0.012160459
5,regulation,0.011311442
5,link,0.011009656
5,vast,0.0098521225
5,equivalent,0.009781579
5,source,0.009602843
5,create,0.008605789
5,tion,0.008605358
5,immunofluorescence,0.0060599283
5,necessitate,0.0058165547
5,thus,0.005740985
5,weight,0.0056592464
5,partnership,0.0055241594
5,autoimmunity,0.005391722
6,increase,0.1456144
6,improve,0.12413264
6,agonist,0.029195484
6,compare,0.022676572
6,yield,0.020009855
6,maximize,0.01950132
6,submission,0.016088124
6,enrich,0.015667275
6,endpoint,0.015197539
6,phase,0.014255523
6,significantly,0.014129326
6,trial,0.013344711
6,superior,0.012662809
6,clearance,0.012236059
6,property,0.012030924
6,bind,0.011580056
6,significant,0.011421052
6,transport,0.01116002
6,substantially,0.0093732895
6,separation,0.008997688
6,derivative,0.008843615
6,least,0.008810901
6,half_life,0.008440476
6,begin,0.008088363
6,timing,0.0080570085
6,requirement,0.007909144
6,license,0.0076282364
6,effect,0.0075981463
6,biomarker,0.0074199066
6,industry,0.006802279
7,brain,0.17608657
7,demonstrate,0.16823092
7,melanoma,0.04413802
7,trial,0.03125972
7,subject,0.02318347
7,acid,0.018169733
7,involve,0.016571013
7,follow,0.015270199
7,peptide,0.014605487
7,almost,0.014237024
7,damage,0.011933523
7,survival,0.011282293
7,spontaneous,0.009675641
7,canine,0.00956944
7,submission,0.008557734
7,validate,0.008393139
7,grade,0.007665474
7,intracranial,0.0075352285
7,human,0.0074839047
7,potential,0.0073282784
7,newly,0.0069257077
7,investigation,0.0067825997
7,surgical_resection,0.006750534
7,therapy,0.0063032857
7,lay_foundation,0.006288607
7,contrast,0.0060063214
7,control,0.005658878
7,sustain,0.0055887713
7,enroll,0.005584908
7,act,0.0051498264
8,use,0.06024511
8,pain,0.039540976
8,phenotype,0.031691026
8,high,0.031088335
8,beam,0.027259775
8,treat,0.021325601
8,therapy,0.020203542
8,spare,0.019014612
8,fast,0.016459925
