topic,keyword,importance
1,mirna,0.030446362
1,introduce,0.023943761
1,biological,0.0147600705
1,vivo,0.012731656
1,investment,0.011509543
1,design,0.011271331
1,assay,0.011021948
1,aim,0.010301168
1,profiling,0.010192594
1,protect,0.010142672
1,response,0.009623609
1,monitor,0.009552223
1,reaction,0.00955156
1,pathway,0.009331305
1,co,0.009205821
1,step,0.008957132
1,target,0.008647549
1,splicing,0.007777874
1,change,0.0076713595
1,small,0.007502936
1,event,0.0072799944
1,cell,0.0065313685
1,affect,0.0061756377
1,approve,0.005935001
1,control,0.0058156024
1,primer,0.0056283358
1,address,0.005423518
1,modulate,0.005204248
1,dose,0.005199244
1,mrna,0.0051823435
2,patient,0.14479248
2,medication,0.0611708
2,system,0.03552117
2,healthcare,0.02639737
2,scale,0.023818402
2,week,0.020014133
2,outcome,0.019236945
2,shallow,0.017223654
2,far,0.016627332
2,aim,0.01570517
2,agent,0.015608367
2,facilitate,0.012275882
2,hour,0.011032725
2,expect,0.010121237
2,sample,0.010018273
2,reduce,0.008660328
2,indication,0.0077271555
2,existence,0.007721752
2,score,0.007364701
2,tat,0.0073258006
2,biomedical,0.0073248944
2,loop,0.007324086
2,intervention,0.0071301805
2,produce,0.0067839837
2,much,0.0066802464
2,increase,0.0037921574
2,typically,0.003720717
2,fulfil,0.0037204977
2,pace,0.0037201443
2,vendor,0.0037200365
3,assay,0.036777124
3,chromatin,0.025505096
3,sample,0.019785024
3,development,0.018861413
3,validate,0.016582934
3,use,0.015312272
3,profiling,0.014678056
3,cell,0.013990778
3,feature,0.01391234
3,profile,0.013512428
3,generate,0.013386391
3,quantitative,0.012095949
3,spike,0.010923259
3,workflow,0.010564896
3,control,0.010224934
3,methylome,0.010029884
3,fold,0.009850596
3,enable,0.0098427115
3,epigenetic,0.009348677
3,genomic,0.008881235
3,mapping,0.008723918
3,seq,0.008381098
3,panel,0.00809072
3,change,0.008034209
3,tissue,0.007882186
3,understanding,0.007868481
3,drug,0.007864172
3,resolution,0.007604083
3,analysis,0.007274463
3,sensitive,0.007059175
4,support,0.091023974
4,application,0.030487271
4,commercial,0.021051496
4,submit,0.019368473
4,augment,0.019358205
4,module,0.015295567
4,update,0.007244807
4,text,0.0072447206
4,meaningful,0.003727436
4,generate,0.0021814518
4,datum,0.00025378974
4,company,0.00024332499
4,variant,0.00024107729
4,stage,0.00023985637
4,prove,0.00023486522
4,early,0.00023007367
4,review,0.00022986374
4,test,0.00022966388
4,clinical,0.00022965259
4,reduce,0.00022965208
4,cost,0.00022936254
4,medical,0.00022926972
4,commercially_viable,0.00022915498
4,time,0.0002289851
4,influence,0.00022887372
4,framework,0.0002287409
4,interpretation,0.00022873763
4,lab,0.00022844646
4,innovation,0.00022839264
4,evaluate,0.00022826958
5,cell,0.07293853
5,single,0.029377427
5,technology,0.022800647
5,reduce,0.018888505
5,far,0.017585851
5,low,0.01714447
5,result,0.016937679
5,mirna,0.01682461
5,library,0.015630435
5,unbiased,0.01534513
5,small,0.015276361
5,enzymatic,0.014008527
5,detection,0.013076379
5,expression,0.012678815
5,commercial,0.012271163
5,create,0.012131244
5,other,0.012082351
5,also,0.011858259
5,profile,0.011834906
5,input,0.010997972
5,rna,0.010628633
5,line,0.00998512
5,mirnas,0.009950698
5,proprietary,0.009037616
5,gene,0.008848298
5,dramatically,0.008844215
5,directly,0.008449086
5,intrinsic,0.008410783
5,preparation,0.00839451
5,show,0.008157665
6,protein,0.032498654
6,sample,0.028283736
6,modification,0.026105914
6,assay,0.020378562
6,reader,0.012785434
6,use,0.0118889585
6,change,0.011458853
6,more,0.011279738
6,type,0.011095849
6,new,0.010921344
6,translation,0.010625597
6,mapping,0.010233889
6,dynamic,0.010035834
6,control,0.009438472
6,target,0.00919536
6,approach,0.009020283
6,drug,0.008946577
6,development,0.0088660335
6,sensitivity,0.008816959
6,remove,0.008762568
6,quantity,0.008724999
6,degradation,0.00832652
6,progression,0.008168707
6,cellular,0.007986544
6,quantitative,0.0074644284
6,human,0.007212412
6,multiple,0.0067206356
6,dna,0.0066846246
6,antibody,0.0066448934
6,entire,0.006173728
7,supplement,0.025458697
7,award,0.02313753
7,humanize,0.016421407
7,antidote,0.016421111
7,aldicarb,0.014096554
7,bioinformatician,0.010515073
7,recently,0.010401759
7,perform,0.010181431
7,bioinformatic,0.010054005
7,work,0.009590561
7,address,0.009457602
7,ach,0.009447665
7,animal,0.009426816
7,act,0.009416693
7,effect,0.009230566
7,issue,0.007898648
7,individual,0.007890841
7,elegan,0.007123124
7,release,0.0071228743
7,human,0.007120736
7,drug,0.0071194065
7,well,0.007099809
7,aim,0.0069527524
7,inhibit,0.0048101326
7,create,0.00480755
7,pralidoxime,0.0047986475
7,replace,0.0047986293
7,paralytic,0.004798625
7,diazepam,0.004798617
7,neurotoxic,0.00479858
8,datum,0.019812362
8,microrna,0.019349009
8,target,0.017303923
8,analysis,0.015774537
8,perform,0.014936947
8,ensure,0.014200889
8,research,0.014050594
8,micrornas,0.01401953
8,effect,0.013802111
8,source,0.011504579
8,aim,0.0112848
8,biomedical,0.011250742
8,expand,0.010613296
8,quality,0.010601078
8,tool,0.009838719
8,set,0.009779341
8,global,0.009301957
8,chimeric_eclip,0.009019442
8,genetic,0.008939787
8,ecosystem,0.008790943
8,enable,0.008718521
8,importance,0.008684493
8,team,0.008309314
8,production,0.0074997153
8,service,0.0072039547
8,model,0.0070746127
8,data,0.006799809
8,functional,0.006716297
8,researcher,0.006627831
8,experiment,0.0064404127
9,cell,0.029943965
9,cancer,0.028147412
9,treatment,0.025660131
9,detection,0.02140787
9,method,0.01586883
9,non,0.014616514
9,cfdna,0.013264277
9,methylate,0.012572199
9,model,0.011944366
9,propose,0.010411697
9,specific,0.010254829
9,tumor,0.009339776
9,early,0.0093284855
9,unique,0.008870594
9,portal,0.0085773915
9,diagnostic,0.008077875
9,cytosine,0.007621874
9,lung,0.007580109
9,normal,0.007572439
9,biomarker,0.007107501
9,detect,0.0069771637
9,easy,0.006834756
9,ability,0.0067096064
9,state,0.0062890854
9,copy,0.0062273666
9,determine,0.0061923545
9,nanopore,0.0061242827
