topic,keyword,importance
1,lung,0.03334823
1,disease,0.019303428
1,drug,0.016590897
1,model,0.012610418
1,therapeutic,0.010626067
1,cell,0.010451991
1,target,0.010411996
1,anti,0.0087853465
1,lead,0.008613542
1,effect,0.008475839
1,inflammation,0.0083676
1,inhibitor,0.007895904
1,fibrosis,0.0075805676
1,pulmonary,0.007133043
1,treatment,0.006290978
1,candidate,0.0062140035
1,inflammatory,0.0062096547
1,compound,0.005861604
1,determine,0.00564905
1,protein,0.005487203
1,asthma,0.005475201
1,reduce,0.00530496
1,response,0.0052773957
1,activity,0.0051725022
1,new,0.0050283796
1,peptide,0.0050205374
1,molecule,0.0049685757
1,inhibit,0.004948769
1,induce,0.004887357
1,class,0.0046820925
2,cell,0.098615855
2,drug,0.059894294
2,development,0.0288392
2,human,0.027828682
2,more,0.021050263
2,compound,0.02027222
2,derive,0.017499143
2,toxicity,0.017057667
2,cardiotoxicity,0.015848456
2,predictive,0.015416307
2,significant,0.013134811
2,platform,0.012936181
2,screening,0.012886335
2,culture,0.011915819
2,stem,0.010531579
2,market,0.010260861
2,cardiomyocyte,0.009712249
2,discovery,0.009480945
2,cardiac,0.009377934
2,assay,0.009304439
2,test,0.009181372
2,throughput,0.0089054415
2,potential,0.008830365
2,effect,0.008210158
2,screen,0.007975041
2,validation,0.007877121
2,metabolic,0.0075357184
2,represent,0.0072918474
2,induce,0.0072259638
2,cost,0.0071348133
3,study,0.1484487
3,dose,0.06538674
3,formulation,0.031797867
3,delivery,0.021579446
3,other,0.01765196
3,show,0.016030258
3,domain,0.015741346
3,development,0.0147376
3,medication,0.013543898
3,tolerability,0.012688147
3,low,0.012508848
3,significant,0.010659327
3,particle,0.010399959
3,toxicology,0.0103858365
3,define,0.010013818
3,bioavailability,0.008677153
3,well,0.008342507
3,carrier,0.008323227
3,administration,0.008305795
3,oral,0.00810529
3,certain,0.008087106
3,demonstrate,0.00799349
3,soluble,0.0077921567
3,preclinical,0.007703686
3,further,0.0074275304
3,animal,0.00718875
3,stability,0.0070447875
3,barrier,0.007025796
3,prevent,0.006782338
3,potential,0.006609447
4,blood,0.06883547
4,assay,0.023763437
4,time,0.017663032
4,oxygen,0.01742004
4,level,0.015497687
4,microfluidic,0.013989619
4,require,0.012468336
4,sample,0.0119558275
4,setting,0.011915064
4,respiratory,0.011694083
4,volume,0.010594695
4,pediatric,0.01027165
4,transfusion,0.0098885065
4,chronic,0.009154496
4,adult,0.008065425
4,inhaled,0.008000653
4,hospital,0.0072763376
4,condition,0.007195773
4,hemoglobin,0.0071839583
4,testing,0.007171757
4,grade,0.0066213226
4,cartridge,0.0065788263
4,automate,0.0064924387
4,portable,0.006404262
4,air,0.006201395
4,emergency,0.0061384486
4,child,0.0058439155
4,sickle,0.0057979133
4,plan,0.005730405
4,also,0.0055271205
5,surgery,0.023967685
5,adhesion,0.022583092
5,digital,0.017533697
5,more,0.016960682
5,intubation,0.015665062
5,pci,0.013502809
5,surgical,0.013325888
5,approach,0.013031987
5,large,0.012944802
5,pass,0.010275362
5,nearly,0.010249958
5,injury,0.010151277
5,barrier,0.010139003
5,phantom,0.010068055
5,hemorrhage,0.009974799
5,entire,0.009490718
5,congenital_heart,0.009198282
5,case,0.0089928815
5,ultra,0.008940463
5,execution,0.008712857
5,access,0.008661199
5,thoracic,0.008490074
5,guidewire,0.008197457
5,congenital_heart_defect,0.007869165
5,tip,0.0074763917
5,safe,0.0073423903
5,dissection,0.007088623
5,mapping,0.007080831
5,market,0.0070361663
5,material,0.0069747632
6,platelet,0.04532726
6,mouse,0.034803413
6,risk,0.02289171
6,function,0.016726464
6,increase,0.012823153
6,cytokine,0.01106744
6,lipid,0.010134209
6,clot,0.008917988
6,biomarker,0.00857799
6,exercise,0.008247831
6,decrease,0.008185781
6,lower,0.007955767
6,antiplatelet,0.007907583
6,provide,0.007692331
