topic,keyword,importance
1,caregiver,0.034789287
1,platform,0.032999963
1,care,0.031395636
1,health,0.024142366
1,design,0.01682305
1,user,0.01635794
1,experience,0.01501633
1,social,0.013190405
1,life,0.012984243
1,well,0.012760085
1,quality,0.012293701
1,live,0.012150075
1,dementia,0.011811725
1,usability,0.011517819
1,partner,0.010212682
1,person,0.009633775
1,improve,0.008831874
1,management,0.008695127
1,prototype,0.008662789
1,need,0.00799057
1,community,0.00793469
1,help,0.0076562674
1,conduct,0.007530486
1,service,0.0074481396
1,facilitate,0.007235666
1,memory,0.007201382
1,feasibility,0.007173648
1,group,0.00709143
1,being,0.0070725344
1,create,0.0068015484
2,care,0.060511027
2,cost,0.035598077
2,long_term,0.025766153
2,dementia,0.023168901
2,grow,0.017948175
2,rate,0.017209398
2,increase,0.01662501
2,pilot,0.016207477
2,prevention,0.016096147
2,about,0.015429274
2,mobile,0.014957471
2,provider,0.013940866
2,education,0.013783218
2,family,0.013476952
2,community,0.013362062
2,program,0.012944798
2,case,0.011918116
2,caregiver,0.01103594
2,organization,0.010933779
2,planning,0.010742499
2,direct,0.010491319
2,senior,0.009775687
2,resource,0.009609823
2,number,0.009474854
2,healthcare,0.0093255965
2,member,0.008985839
2,most,0.00863127
2,base,0.008108719
2,call,0.007884485
2,face,0.007882309
3,notably,0.049351268
3,lead,0.03738886
3,enzymatic,0.032702714
3,neuroinflammatory,0.028785447
3,tau_phosphorylation,0.024282001
3,attractive,0.024183238
3,streamline,0.018878391
3,applicable,0.017825102
3,minority,0.017039254
3,position,0.016989853
3,frequently,0.015310655
3,in,0.0151263
3,serious,0.015111134
3,examine,0.01479745
3,chemistry,0.014075704
3,useful,0.013948254
3,board,0.013851477
3,considerable,0.012775005
3,discovery,0.012635931
3,intranasal,0.01024207
3,dysfunction,0.009865918
3,subject,0.009620377
3,face,0.009266939
3,endothelial,0.008773241
3,endothelial_dysfunction,0.008241729
3,pivotal,0.0076633287
3,repeatedly,0.0076441593
3,marker,0.006304456
3,adverse_event,0.006183135
3,panel,0.005923673
4,ad,0.05939031
4,model,0.041219153
4,disease,0.034666836
4,cell,0.033614226
4,target,0.03081525
4,treatment,0.02706851
4,human,0.020308489
4,therapeutic,0.016817309
4,brain,0.016060684
4,efficacy,0.015032517
4,novel,0.011907499
4,compound,0.011398562
4,drug,0.01137527
4,vivo,0.010238923
4,candidate,0.010229063
4,cause,0.009441488
4,tissue,0.008609246
4,identify,0.008122613
4,cellular,0.00800864
4,animal,0.007833143
4,neuroinflammation,0.0075478037
4,gene,0.0075025684
4,neurodegenerative,0.0073242066
4,derive,0.007203973
4,aging,0.007095275
4,pathology,0.0070902794
4,expression,0.0068869707
4,therapy,0.006541924
4,neuron,0.006526394
4,mouse,0.006352362
5,early,0.018869277
5,imaging,0.014496081
5,clinical,0.013418039
5,cognitive,0.01151243
5,datum,0.01108035
5,image,0.009575627
5,analysis,0.0094615705
5,tool,0.009364137
5,product,0.0084412135
5,change,0.008414553
5,technology,0.008312623
5,validate,0.008131155
5,method,0.007989182
5,progression,0.00776255
5,provide,0.007751272
5,development,0.007232553
5,research,0.007032871
5,exist,0.0069646747
5,assessment,0.006897617
5,high,0.006886866
5,predict,0.006445035
5,code,0.0063036582
5,process,0.0062659476
5,commercial,0.0062166257
5,set,0.005992361
5,diagnose,0.005765655
5,detect,0.0056333505
5,however,0.0056324364
5,time,0.005484183
5,individual,0.005393441
6,diabete,0.04104909
6,woman,0.03539051
6,double,0.01960747
6,resistance,0.019434433
6,natural,0.019051142
6,proposal,0.01882434
6,mouse,0.017670842
6,impairment,0.017604567
6,suppression,0.017299052
6,hormonal,0.014255334
6,more,0.014013847
6,emerge,0.013241275
6,hormone,0.012818374
6,autonomous,0.012579916
6,spatial,0.012528824
6,aged,0.012185648
6,cancer,0.01202493
6,symptom,0.011992326
6,adult,0.010733717
6,well,0.01055509
6,breast,0.010027256
6,prescribe,0.009827473
6,illness,0.009750096
6,interneuron,0.00947956
6,hot_flash,0.009080068
6,therapy,0.008735808
6,negative,0.008335419
6,rescue,0.008310197
6,desire,0.00821159
6,alone,0.007927477
7,support,0.20419146
7,care,0.050781827
7,enhance,0.0473402
7,recommendation,0.02509473
7,pay,0.021073444
7,family,0.019513253
7,strain,0.017597249
7,caregiver,0.017373677
7,connection,0.017012473
7,technical,0.016383663
7,guidance,0.015704986
7,new,0.015297003
7,suppress,0.014855594
7,funding,0.012043588
7,need,0.011072957
7,caregive,0.009432931
7,next,0.009164336
7,age,0.0091586
7,want,0.008453004
7,burden,0.0083857905
7,chemistry,0.008285884
7,stress,0.007255272
7,company,0.007188895
7,half,0.0071871844
7,vital,0.0071673687
7,unpaid,0.00707703
7,humanize,0.0070027984
7,sufferer,0.006891938
7,role,0.006745724
7,contribute,0.006617287
8,fracture,0.028738769
8,chronic,0.02029212
8,complement,0.017879432
8,data,0.01708565
8,age,0.016966902
8,condition,0.016856149
8,capability,0.016690107
8,medical,0.0161221
8,syndrome,0.013976469
8,elderly,0.013538146
8,high,0.013355191
8,collaboration,0.012844752
8,therapeutic,0.012703533
8,modality,0.012217947
8,software,0.011944479
8,device,0.011652426
8,datum,0.010130165
8,determine,0.009507272
8,driver,0.009438232
8,healing,0.008824753
8,incident,0.0086557735
8,population,0.008654397
8,drive,0.008125064
8,account,0.008049824
8,mass,0.007906702
8,business,0.007862945
8,approval,0.0076312297
8,prospective,0.0075618457
8,treatment,0.00755471
8,monitor,0.007352591
9,sleep,0.10742573
9,pain,0.048340354
9,partial,0.033070303
9,sm,0.023120914
9,device,0.021995433
9,standard,0.021758223
9,ultrasound,0.01722039
9,treatment,0.01666791
9,stream,0.015191816
9,sonophoresis_patch,0.013638671
9,accord,0.012521686
9,day,0.011429846
9,adversely_impact,0.010636726
9,transmit,0.010548802
9,pain_relief,0.009614747
9,tissue,0.009510983
9,cardiovascular,0.009134341
9,alone,0.00907684
9,population,0.008288597
9,nsaid,0.008259441
9,relate,0.008249463
9,apply,0.008063384
9,mattress,0.007802322
9,water,0.007368801
9,night,0.007096188
9,evaluate,0.0069075506
9,poor,0.0061157737
9,daytime,0.0060900236
9,fragmentation,0.0059339493
9,cut_edge,0.0059337816
10,precede,0.036245704
10,diffusion,0.000112627604
10,overexpress,0.00011262759
10,perfuse,0.00011262759
10,forego,0.00011262759
10,largescale,0.00011262759
10,hopp,0.00011262759
10,extrapolation,0.00011262759
10,enteric_nervous,0.00011262759
10,bidirectional,0.00011262759
10,micro,0.00011262759
10,mechanostructural,0.00011262759
10,peace_mind,0.00011262759
10,instructional,0.00011262759
10,interoperability,0.00011262759
10,hasten,0.00011262759
10,obtainable,0.00011262759
10,orthopedic,0.00011262759
10,precipitating,0.00011262759
10,seamless,0.00011262759
10,simulated,0.00011262759
10,videoconferencing,0.00011262759
