topic,keyword,importance
1,study,0.038484935
1,drug,0.028958336
1,safety,0.015828058
1,efficacy,0.014455655
1,human,0.014087312
1,compound,0.01285506
1,chronic,0.011811765
1,rat,0.011804392
1,application,0.011502712
1,model,0.0105677005
1,cardiac,0.010323555
1,induce,0.009748589
1,alcohol_consumption,0.009596436
1,emodin,0.009177723
1,relapse,0.009169787
1,phase,0.008860781
1,medication,0.008767512
1,rodent,0.008060348
1,dose,0.008028728
1,clinical,0.0077001285
1,treat,0.007659214
1,new,0.0076126475
1,mouse,0.0067539406
1,metabolism,0.0067071505
1,effective,0.0065401555
1,therapy,0.006415074
1,perform,0.0064017735
1,task,0.006324741
1,ameliorate,0.006321202
1,safe,0.006320213
2,study,0.00033035336
2,human,0.00032983875
2,trial,0.00032975627
2,include,0.00032969672
2,drug,0.00032965388
2,compound,0.0003295901
2,complete,0.00032953318
2,medication,0.00032948385
2,system,0.00032944564
2,cost,0.0003293989
2,formulation,0.00032939375
2,clinical,0.00032938912
2,therapy,0.00032936566
2,anticipate,0.0003293638
2,safety,0.00032931715
2,patient,0.00032931307
2,chronic,0.0003292815
2,tool,0.00032927052
2,base,0.00032926234
2,alcohol_misuse,0.00032926138
2,animal,0.00032925777
2,relapse,0.00032924867
2,care,0.00032924028
2,generate,0.0003292332
2,brain,0.00032923117
2,treatment,0.00032922774
2,medical,0.00032922457
2,more,0.00032921752
2,produce,0.00032921543
2,treat,0.00032921362
3,adult,0.021276869
3,increase,0.020484433
3,screening,0.018065766
3,health,0.017883796
3,identify,0.015148953
3,young,0.014935203
3,college,0.014754922
3,year,0.012615906
3,seek,0.012383329
3,approach,0.011828526
3,behavior,0.011059265
3,tailor,0.010381241
3,efficacy,0.010060874
3,help,0.00994656
3,company,0.009556315
3,decrease,0.009369688
3,aud,0.009311916
3,fund,0.009196759
3,binge_drinking,0.009030492
3,burden,0.008948217
3,likely,0.00872868
3,parent,0.008429423
3,substance,0.007878677
3,aim,0.007603945
3,department,0.0075255646
3,lack,0.0074280794
3,urgently,0.007365398
3,attempt,0.0073393844
3,activity,0.006957836
3,expression,0.006480789
4,ethanol,0.04720246
4,therapy,0.028434273
4,adduct,0.02335123
4,damage,0.018108444
4,acetaldehyde,0.016087206
4,risk,0.016036816
4,gene,0.015967388
4,formation,0.0140793715
4,dna,0.013894949
4,associate,0.013793909
4,enzyme,0.013681476
4,cancer,0.013296645
4,deficiency,0.011913248
4,aldh,0.011762838
4,ingestion,0.011754413
4,accumulation,0.0110343555
4,esophageal,0.0094438465
4,aldehyde,0.0071279653
4,hereditary,0.007125498
4,asian,0.0071252515
4,carry,0.007117353
4,toxic,0.0066132285
4,protein,0.00660059
4,geal,0.0048103533
4,adeno_associate_virus,0.004810048
4,oxidize,0.0048098764
4,in,0.0048098643
4,deficient,0.0048097013
4,esophagus,0.004809429
4,esopha,0.004809285
5,alcohol,0.04817736
5,device,0.029312778
5,time,0.027498547
5,real,0.022661416
5,wearable,0.021243596
5,sensor,0.01674924
5,continuous,0.014438726
5,monitor,0.013783225
5,technology,0.012116836
5,death,0.011735034
5,datum,0.011417626
5,accurate,0.011015192
5,calibration,0.010590366
5,integrate,0.009360705
5,enable,0.009062179
5,day,0.008741449
5,measure,0.008048121
5,skin,0.007913647
5,continuously,0.007703407
5,free,0.0074899797
5,successful,0.007451335
5,problem,0.007404521
5,drug,0.0073354756
5,level,0.007277815
5,sweat,0.007065595
5,rely,0.0066403253
5,highly,0.0055426345
5,blood,0.005524328
5,optimal,0.005514666
5,penetration,0.005298037
6,investigator,0.043987844
6,continue,0.03488609
6,stress,0.026983486
6,dependence,0.02666638
6,facilitate,0.026242403
6,extensive,0.023514163
6,maximum_tolerate_dose,0.023513041
6,model,0.019167023
6,telehealth,0.017082771
6,self,0.013563449
6,carry,0.0058371914
6,non_inferiority,0.005835607
6,trigger,0.005835457
6,constituent,0.0030228922
6,blind,0.0030228752
6,importance,0.0030228694
6,rarely,0.0030228335
6,innovate,0.0030228335
6,marketing,0.0030228284
6,solve,0.0030228274
6,elusive,0.00302281
6,exert,0.0030227972
6,initiation,0.003022784
6,publication,0.0030227776
6,side,0.003022777
6,innovation,0.003022772
6,attainment,0.0030227704
6,assessor,0.0030227357
6,reactivity,0.0030227061
6,comparative,0.00302269
7,mouse,0.038956665
7,treatment,0.02873948
7,economic,0.016913561
7,estimate,0.015150717
7,synthesize,0.013925668
7,have,0.013801931
7,long,0.012936103
7,range,0.012762813
7,compliance,0.012000307
7,adverse_event,0.011999585
7,affect,0.011932723
7,personal,0.011920356
7,medical,0.011890701
7,propose,0.011867883
7,act,0.011534854
7,problem,0.011225252
7,criterion,0.010019186
7,many,0.008836841
7,intestinal,0.0080493
7,binge,0.008046205
7,secondary,0.008045761
7,disulfiram,0.008041778
7,psychological,0.008041626
7,individual,0.007898467
7,social,0.0077080117
7,monkey,0.0074723484
7,early,0.0073577794
7,gene,0.0064459154
7,acetaldehyde,0.006340516
7,nhp,0.00607469
8,liver,0.15031059
8,fibrosis,0.04211073
8,model,0.039364785
8,disease,0.0357725
8,progression,0.022039294
8,inflammation,0.019867616
8,injury,0.019100798
8,hepatic,0.018447243
8,lead,0.014906775
8,hepatocyte,0.013908492
8,induce,0.013550741
8,development,0.013031429
8,therefore,0.012123949
8,target,0.011285199
8,detection,0.01109838
8,investigate,0.010818305
8,cirrhosis,0.010656208
8,possible,0.010237388
8,alcoholic_liver,0.010107923
8,failure,0.009194694
8,function,0.009039407
8,expression,0.009002213
8,procedure,0.008825215
8,single,0.008806969
8,pioneer,0.008571638
8,stage,0.00834967
8,allow,0.008276631
8,contribute,0.007926371
8,significantly,0.007392998
8,step,0.0069438564
9,nad,0.02315024
9,lead,0.022210887
9,increase,0.020400172
9,oxidation,0.020131756
9,patient,0.018997421
9,test,0.018628424
9,kidney,0.018535143
9,level,0.01853325
9,therapeutic,0.016542705
9,mitochondrial,0.016524995
9,disease,0.014765436
9,renal,0.014404678
9,prevent,0.014287452
9,direct,0.013377636
9,liver,0.012487765
9,oxidative_stress,0.011918726
9,injury,0.011566327
9,reverse,0.011134158
9,potent,0.010658854
9,organ,0.010271857
9,mediate,0.01010591
9,novel,0.009972165
9,inflammatory,0.009803571
9,highly,0.009749362
9,systemic,0.009642793
9,therapy,0.009526432
9,progressive,0.009511325
9,function,0.009462761
9,outcome,0.009441501
9,improve,0.009415428
10,intervention,0.029899718
10,individual,0.027507711
10,behavioral,0.015735285
10,health,0.015619528
10,end,0.014357499
10,sleep,0.014085865
10,mobile,0.013371904
10,drinker,0.011925957
10,aim,0.010848171
10,setting,0.010723493
10,clinician,0.010569345
10,risk,0.01054468
10,anxiety,0.009509562
10,factor,0.009389653
10,measurement,0.009333551
10,hazardous_drinking,0.008833942
10,well,0.008269135
10,user,0.0075389543
10,problem,0.0073240227
10,yet,0.0070917895
10,feedback,0.007052451
10,population,0.007043233
10,base,0.0070412057
10,group,0.0070045628
10,importantly,0.006919869
10,product,0.0069173123
10,capability,0.006842441
10,version,0.0068060574
10,strategy,0.0067385575
10,morbidity_mortality,0.0066428096
11,patient,0.03203063
11,disorder,0.031839006
11,test,0.029836034
11,treatment,0.029500203
11,liver,0.02858804
11,measure,0.019964347
11,enrol,0.01973024
11,function,0.019144649
11,identify,0.01798512
11,record,0.017227458
11,engage,0.014808322
11,elevated,0.014600423
11,month,0.014511275
11,early,0.014273661
11,system,0.01303362
11,screen,0.012473266
11,control,0.011938501
11,randomize,0.011840577
11,first,0.011709321
11,outcome,0.011454926
11,method,0.011357167
11,large,0.01040128
11,conduct,0.010056812
11,health,0.009769494
11,more,0.00964818
11,electronic,0.009518289
11,subject,0.009444049
11,associate,0.0088379355
11,participant,0.00819355
11,demonstrate,0.008087152
12,suicide,0.032747068
12,prevention,0.024748532
12,target,0.02359272
12,year,0.014248693
12,other,0.012039849
12,test,0.0119373575
12,think,0.01067529
12,deliver,0.010605753
12,care,0.0105379755
12,build,0.010528296
12,increase,0.00996252
12,allele,0.009551166
12,stage,0.009352943
12,design,0.009307479
12,compare,0.00916183
12,withdrawal,0.0090532005
12,interfere,0.008962858
12,remain,0.008505101
12,phenotype,0.008306206
12,treat,0.00824645
12,relapse,0.007939472
12,molecular,0.0077600013
12,screen,0.007387028
12,urgent,0.0073293583
12,health,0.007084314
12,identify,0.006939234
12,app,0.006932855
12,month,0.0069291447
12,plasma,0.0069281226
12,then,0.006463793
13,strategy,0.015785199
13,student,0.015733216
13,rate,0.013585858
13,well,0.013545425
13,base,0.0134089645
13,care,0.012798086
13,isoform,0.011259632
13,human,0.011203499
13,patient,0.010737344
13,create,0.0101562645
13,product,0.010133346
13,improve,0.009252843
13,quality,0.009053744
13,prototype,0.00840874
13,short,0.008385455
13,collect,0.008028187
13,provide,0.007977346
13,blocker,0.0076810857
13,covid_pandemic,0.0076809134
13,design,0.0076227062
13,simulation,0.007399959
13,play,0.0070496136
13,impact,0.006894583
13,cope,0.0064178053
13,experience,0.0063783047
13,issue,0.006334347
13,behavioral,0.006258942
13,practice,0.006112409
13,resource,0.0060221916
13,decrease,0.0059725335
14,optimization,0.047433455
14,dual,0.02377094
14,experimental,0.022344008
14,cue,0.022343693
14,clinical,0.018186172
14,enable,0.017913476
14,tool,0.013870279
14,affinity,0.012994498
14,sepsis,0.012959266
14,reinstatement,0.011928575
14,absent,0.011901021
14,invent,0.01189278
14,morbidity_mortality,0.011256955
14,label,0.0101034185
14,positive,0.009321794
14,validation,0.008988329
14,reduce,0.0079950765
14,false_alert,0.007247689
14,retrospective,0.007247613
14,demonstrate,0.0067977128
14,contrast,0.006502973
14,successfully,0.006494648
14,gold_standard,0.0064231893
14,conduct,0.0059324405
14,clinician,0.005821363
14,evaluate,0.00581981
14,train,0.0058197626
14,hospital,0.0057167592
14,arm,0.0056508495
14,success,0.0051019215
15,treatment,0.081771515
15,relate,0.035565395
15,reduce,0.030168397
15,harm,0.021934262
