topic,keyword,importance
1,asthma,0.13913876
1,allergen,0.067910194
1,corticosteroid,0.034776606
1,neutrophil,0.033026442
1,consequently,0.028653761
1,eosinophil,0.022880351
1,symptom,0.015190623
1,administration,0.014650282
1,steroid,0.0130375
1,inhale,0.012669799
1,lipid_raft,0.010370823
1,mouse,0.009684203
1,express,0.009650953
1,airways,0.009484068
1,exacerbation,0.007950245
1,il,0.0073162965
1,margin,0.006312094
1,sphingolipid,0.0058776196
1,lipopolysaccharide,0.00467123
1,mucus,0.0040358137
1,often,0.003958233
1,house_dust_mite,0.003913703
1,reveal,0.003911011
1,many,0.0033872286
1,shortness_breath,0.003286091
1,bronchodilator_corticosteroid,0.0026255623
1,mast,0.0025821277
1,effect,0.0025070733
1,repeat,0.002411268
1,reasonable,0.001313862
2,cell,0.15385449
2,therapy,0.02822884
2,immune,0.025694333
2,lung,0.016232323
2,inflammatory,0.015028127
2,patient,0.01068442
2,suppress,0.010340176
2,inflammation,0.009808488
2,function,0.00921322
2,anti,0.009132559
2,pathway,0.009027227
2,cancer,0.008933755
2,receptor,0.008820891
2,side_effect,0.008787713
2,car,0.008515149
2,system,0.008260102
2,autoimmune,0.008115717
2,airway,0.008038843
2,mouse,0.0078601
2,treat,0.0077715274
2,chronic,0.0075884946
2,induce,0.0074665053
2,reduce,0.006976976
2,level,0.0069720354
2,role,0.00690318
2,target,0.0066361143
2,show,0.006613412
2,quickly,0.0063417195
2,expression,0.0061441883
2,gap,0.006133361
3,vaginal,0.036768105
3,biofilm,0.02293729
3,prevent,0.021986226
3,woman,0.021363182
3,surface,0.019854158
3,bacteria,0.018492773
3,formulation,0.015731242
3,disrupt,0.014055742
3,falciparum,0.013583515
3,environmental,0.0133730555
3,next,0.011548948
3,enormous,0.011231389
3,automation,0.010718771
3,antimicrobial,0.009731632
3,form,0.009351869
3,parasite,0.009077023
3,challenging,0.00892315
3,prevalent,0.00889193
3,personnel,0.008870834
3,sterile,0.008735993
3,assembly,0.008585048
3,advent,0.0085097505
3,release,0.008077002
3,reduce,0.007918174
3,design,0.0076521332
3,contamination,0.006892848
3,eliminate,0.0062710335
3,week,0.0062002228
3,high,0.0061495975
3,compare,0.006092773
4,diagnostic,0.03821839
4,test,0.0318293
4,patient,0.02482014
4,detection,0.018222818
4,assay,0.01639718
4,diagnosis,0.01471734
4,blood,0.013036547
4,rapid,0.012632116
4,culture,0.012553472
4,care,0.012038212
4,detect,0.012005224
4,antimicrobial,0.011906385
4,molecular,0.011231442
4,result,0.010673512
4,device,0.010561926
4,performance,0.010546628
4,testing,0.009639059
4,require,0.009628831
4,improve,0.009580705
4,sensitivity,0.009496121
4,sample,0.009005638
4,system,0.008902664
4,demonstrate,0.00885796
4,automate,0.008797458
4,rely,0.008616475
4,appropriate,0.007824198
4,provide,0.007488906
4,clinical,0.007334186
4,outcome,0.007062456
4,early,0.0070370636
5,response,0.07775922
5,antigen,0.033918526
5,immune,0.026669363
5,adjuvant,0.026181033
5,skin,0.021834841
5,phase,0.020123597
5,vaccine,0.01654972
5,hybrid,0.014793171
5,immunocompromise,0.01478233
5,humoral,0.014552235
5,titer,0.013598008
5,immunity,0.01296993
5,composition,0.012226116
5,particle,0.012112429
5,boost,0.010087932
5,improve,0.01002187
5,eukaryotic,0.009593003
5,plastic,0.009570611
5,mucosal,0.008905695
5,curve,0.008777745
5,technology,0.008599653
5,deliver,0.008390598
5,enhance,0.008323741
5,vaccination,0.008097588
5,generate,0.008006341
5,influenza,0.007654618
5,robust,0.0074530384
5,mimic,0.006959872
5,public,0.0066037443
5,delivery,0.006551381
6,test,0.114032745
6,base,0.05520276
6,antibody,0.02250196
6,stool,0.018295158
6,variable,0.01780968
6,hand,0.017332744
6,antigen,0.014717462
6,project,0.014345948
6,serological,0.014201777
6,region,0.013975527
6,ingestion,0.013806923
6,comprehensive,0.0133934645
6,laboratory,0.013066023
6,other,0.012849023
6,surveillance,0.011990393
6,tool,0.011161775
6,sputum,0.009186113
6,health,0.008477924
6,lateral_flow,0.008233492
6,equipment,0.008126375
6,data,0.007745669
6,management,0.0075964145
6,person,0.0073671164
6,nanoparticle,0.0073553235
6,swab,0.007309568
6,point,0.007307168
6,predictive,0.00701085
6,datum,0.006763856
6,simultaneously,0.0064816223
6,innovation,0.006392775
7,aim,0.08252982
7,malaria,0.06964311
7,mosquito,0.041189563
7,aseptic,0.040737
7,product,0.033260453
7,control,0.031846102
7,more,0.022641769
7,container,0.020421635
7,cost,0.017563926
7,market,0.016933685
7,reduce,0.01638959
7,radiation,0.012788198
7,manufacture,0.012033666
7,manufacturing,0.011434582
7,significantly,0.011225237
7,trial,0.011209199
7,adult,0.011048343
7,increase,0.010967514
7,production,0.01047411
7,egg,0.01045827
7,process,0.010407262
7,stage,0.009634648
7,month,0.008985392
7,field,0.0075240713
7,system,0.007357999
7,adoption,0.007000592
7,sporozoite,0.0065575424
7,country,0.006399416
7,deploy,0.0062940056
7,quality,0.0060692765
8,assay,0.08297051
8,biomarker,0.029448383
8,individual,0.020946193
8,validate,0.01673389
8,acute,0.016625535
8,population,0.015688982
8,specific,0.014691207
8,signal,0.013376738
8,provide,0.012114413
8,base,0.011241881
8,sensitive,0.010953219
8,probe,0.01090929
8,highly,0.009802845
8,diverse,0.009231594
8,platform,0.00866013
8,infect,0.008314391
8,water,0.008230745
8,identify,0.00816573
8,genome,0.007599253
8,new,0.00726312
8,mitigate,0.007236223
8,mass_casualty,0.007174517
8,innovative,0.007087341
8,blood,0.006943144
8,throughput,0.0069245882
8,asymptomatic,0.006865658
8,injury,0.006656446
8,prototype,0.0065717897
8,infected,0.0064662737
8,plasma,0.0064634583
9,drug,0.07296833
9,lead,0.061213206
9,compound,0.0502242
9,inhibitor,0.03996297
9,activity,0.03489542
9,metabolite,0.030098988
9,target,0.027993299
9,vivo,0.025317514
9,molecule,0.024678303
9,new,0.022763938
9,small,0.019260023
9,series,0.015624575
9,identify,0.015169145
9,class,0.014939201
9,select,0.014701495
9,analog,0.014155006
9,candidate,0.013773171
9,property,0.012675476
9,discovery,0.011220169
9,inhibit,0.010347323
9,potent,0.010319424
9,toxicity,0.010144264
9,discover,0.009917842
9,potency,0.009444681
9,library,0.009426536
9,chemical,0.009412808
9,agent,0.009309782
9,novel,0.008815481
9,structure,0.008435952
9,advanced,0.008096368
10,aminoglycoside,0.051056672
10,ototoxicity,0.04495703
10,use,0.033573516
10,phenotypic,0.032811057
10,novel,0.030825669
10,toxicity,0.029278163
10,conjugate,0.028532911
10,cost,0.024827916
10,reduce,0.024191363
10,antibiotic,0.020715294
10,identify,0.017066643
10,propose,0.016891396
10,feed,0.01426833
10,zoonotic,0.011966071
10,culture,0.011086745
10,know,0.010855862
10,work,0.010568253
10,fever,0.009992808
10,ribosomal,0.009802768
10,insecticide,0.0095654465
10,method,0.0093412595
10,alteration,0.009236755
10,limitation,0.008937425
10,problem,0.008919262
10,reduced,0.007847915
10,issue,0.0075620003
10,here_multidisciplinary,0.0074005215
10,effort,0.007283903
10,show,0.0071682357
10,reduced_ototoxicity,0.006910596
11,allergic,0.29759464
11,defense,0.055505153
11,pharmaceutical_industry,0.04004464
11,allergic_asthma,0.039848506
11,subsequent,0.03583859
11,average,0.015242091
11,pk,0.012496508
11,asthmatic,0.012202905
11,rest,0.010432773
11,loop,0.009509293
11,herpe,0.008865963
11,thermostable,0.008352834
11,alleviate,0.0070781442
11,parasitic,0.0057710996
11,tolerize,0.005388523
11,tail,0.0052458635
11,break,0.0037319472
11,ige,0.002947831
