topic,keyword,importance
1,dose,0.020912603
1,contrast,0.019677171
1,enhance,0.017352639
1,patient,0.017120458
1,image,0.014845728
1,training,0.014011703
1,risk,0.010618861
1,report,0.0093243085
1,safety,0.0085318
1,slice,0.008091992
1,full,0.007877226
1,method,0.0074934284
1,gbca,0.0074932547
1,platform,0.007349258
1,low,0.0072397036
1,aim,0.007085534
1,usage,0.0070830854
1,program,0.006953738
1,model,0.006897971
1,exam,0.0068080504
1,simulation,0.0067576687
1,surgeon,0.0067155017
1,recent,0.0063196435
1,radiation,0.0060608266
1,skill,0.0059152227
1,human,0.005817126
1,more,0.0055863997
1,exposure,0.0053515434
1,current,0.004955514
1,high,0.0049457094
2,nerve,0.0261374
2,injury,0.016888892
2,cell,0.015357827
2,damage,0.013039893
2,pathology,0.0129367765
2,chronic,0.012933638
2,surgical,0.0117846895
2,image,0.011731039
2,pain,0.010824293
2,surgery,0.010381506
2,iatrogenic_nerve,0.010078897
2,clinical,0.00860733
2,pathologist,0.008084739
2,cancer,0.007825784
2,risk,0.007625221
2,healthcare,0.0075243455
2,post,0.0073419637
2,deep_learning,0.0071907225
2,lesion,0.0071374956
2,patient,0.006782047
2,medical,0.0065959417
2,fetal,0.005787868
2,model,0.0057339612
2,significant,0.0053257197
2,propose,0.00518286
2,tool,0.0050735716
2,accessory,0.005053123
2,spinal,0.0050531155
2,common,0.0049033365
2,procedure,0.004664128
3,system,0.030295158
3,performance,0.013734669
3,tissue,0.013660522
3,patient,0.010739772
3,feedback,0.008987347
3,surgery,0.008879567
3,target,0.008015962
3,optical,0.007910464
3,paradigm,0.0073104994
3,therapist,0.0073104436
3,non,0.006827004
3,aim,0.0067598065
3,parathyroid_gland,0.0067564887
3,real,0.0065552196
3,thyroid,0.0064348057
3,provide,0.0056690867
3,clinical,0.0055758967
3,network,0.0055301148
3,rehabilitation,0.0054202867
3,study,0.0053067785
3,trial,0.00519802
3,help,0.00497636
3,tool,0.00496866
3,measure,0.0048616775
3,robot,0.0047480464
3,analysis,0.004687117
3,development,0.0046240897
3,invasive,0.0045999624
3,viable,0.004582163
3,session,0.0044732303
4,phantom,0.016492661
4,quantitative,0.014767791
4,disease,0.010699871
4,assay,0.010493508
4,liver,0.009260454
4,biomarker,0.008846014
4,antibody,0.008844827
4,stiffness,0.008665342
4,fibrosis,0.008123871
4,test,0.00770934
4,surgical,0.0073616896
4,improve,0.00721261
4,design,0.007003847
4,performance,0.006986826
4,clinician,0.006476725
4,site,0.0064671272
4,device,0.0064632106
4,highly,0.006124816
4,target,0.005964854
4,mechanical,0.005892304
4,cell,0.0058653792
4,step,0.005816293
4,need,0.0058160326
4,prototype,0.0056983153
4,adoption,0.0055363616
4,bind,0.005509447
4,efficacy,0.00525395
4,staging,0.0052425195
4,diagnosis,0.0050579165
4,procedure,0.005010943
5,cell,0.024366802
5,sample,0.01057794
5,protein,0.010333929
5,infection,0.008987859
5,radiotracer,0.008734493
5,detect,0.008669705
5,study,0.008447261
5,production,0.007123065
5,care,0.006864297
5,therapy,0.0068077166
5,quantify,0.006376789
5,specimen,0.0062063783
5,rapid,0.006086075
5,blood,0.0060480395
5,identify,0.005823435
5,result,0.00570716
5,slide,0.0055842567
5,drug,0.005523692
5,level,0.0051601524
5,also,0.005159721
5,laboratory,0.0050692456
5,early,0.0050177905
5,automate,0.004994926
5,serve,0.0049362765
5,country,0.004919785
5,droplet,0.0047665676
5,dermatologist,0.004748038
5,detection,0.0046385666
5,development,0.004525561
5,preclinical,0.004394956
6,pregnancy,0.024006186
6,ray,0.02291985
6,sensor,0.01868922
6,imaging,0.014817164
6,base,0.013124756
6,conversion,0.01255175
6,semiconductor,0.0116438465
6,obtain,0.010757295
6,direct,0.0106455
6,fpxi,0.0103311865
6,high,0.010293857
6,signal,0.009946121
6,energy,0.009799455
6,electronic,0.009671737
6,application,0.008371332
6,sensitivity,0.00809982
6,image,0.007385711
6,digital,0.0073593436
6,charge,0.0069597294
6,increase,0.006938934
6,program,0.0065875524
6,focus,0.006438326
6,cone_beam,0.0064256773
6,cause,0.0064053284
6,detector,0.005943594
6,isolate,0.0058202976
6,low,0.0056869746
6,scintillator,0.0056756865
6,excellent,0.0056755655
6,indirect,0.0056755547
7,patient,0.01564265
7,disease,0.014598037
7,grating,0.012191108
7,saliva,0.011091171
7,outbreak,0.011079241
7,ray,0.010576549
7,virus,0.010034721
7,sample,0.009416801
7,such,0.009173639
7,early,0.008694229
7,rate,0.008337062
7,respiratory,0.00833655
7,viral,0.00833483
7,infectious,0.008333732
7,sequence,0.008328842
7,phase,0.007975434
7,period,0.0077799764
7,progression,0.0071905046
7,covid,0.007171379
7,area,0.006868932
7,realism,0.0067211487
7,imaging,0.006538824
7,nm,0.0063276584
7,model,0.0062993453
7,estimate,0.00618768
7,risk,0.006102761
7,analysis,0.0060873604
7,predict,0.0059595793
7,identify,0.0058312635
7,case,0.0057838922
8,quality,0.050585516
8,radiation,0.033984054
8,dose,0.031162445
8,image,0.029514808
8,high,0.019711139
8,imaging,0.018779296
8,scan,0.01515078
8,performance,0.0136292
8,patient,0.013215157
8,growth,0.013042356
8,value,0.01188629
8,ray,0.011111239
8,ensure,0.009633599
8,reduction,0.009375382
8,medical,0.008828014
8,device,0.007634475
8,commercial,0.0075850994
8,technique,0.007272002
8,pixel,0.007266225
8,cancer,0.006814634
8,practice,0.0065849763
8,low,0.0065688835
8,grow,0.0058861147
8,multi,0.005517526
8,time,0.0054858266
8,rate,0.0053588063
8,screening,0.005342626
8,fast,0.005279066
8,same,0.005125095
8,data,0.0051246076
9,instrument,0.015805691
9,small,0.010047315
9,laser,0.009721751
9,tumor,0.009140304
9,deep,0.008517386
9,make,0.008516284
9,aim,0.008509182
9,cell,0.007903093
9,device,0.007822082
9,enable,0.007738386
9,imaging,0.007563145
9,light,0.007515019
9,development,0.0073258826
9,patient,0.006629786
9,large,0.0065255244
9,optical,0.0064601833
9,stone,0.006275657
9,modular,0.0062208925
9,process,0.006115639
9,molecule,0.0060554896
9,tip,0.005893525
9,remove,0.0058800774
9,provide,0.0057849833
9,new,0.005577369
9,study,0.005489168
9,procedure,0.005366978
9,ready,0.0050640684
9,solution,0.005034759
9,cancer,0.005024062
9,localization,0.0050090533
10,endoscope,0.046483442
10,probe,0.017020749
10,cost,0.016545897
10,colonoscope,0.013658687
10,resect,0.011340834
10,tissue,0.011111639
10,low,0.00923941
10,remove,0.008706857
10,design,0.007842835
10,disposable,0.006743831
10,also,0.0066252453
10,physician,0.006550219
10,endoscopy,0.006351643
10,procedure,0.0060275076
10,examine,0.005746361
10,sufficiently,0.0056304308
10,colonoscopy,0.0050794096
10,spectroscopic,0.005079345
10,instrument,0.004539781
10,biopsy,0.0038783816
10,workflow,0.0036624998
10,polyp,0.0034384637
10,oct,0.0034384436
10,colonic_polyp,0.0034384246
10,permit,0.003438409
10,colorectal,0.0034384003
10,apply,0.0034383272
10,inexpensive,0.0034375668
10,novel,0.0034349111
10,engine,0.0034015838
11,imaging,0.015757019
11,device,0.013211137
11,image,0.013136823
11,system,0.011180359
11,datum,0.009868562
11,care,0.0074061314
11,monitor,0.006619141
11,allow,0.0063922354
11,source,0.006269573
11,enable,0.005429558
11,assessment,0.0053554308
11,patient,0.0052722753
11,prototype,0.0052515715
11,lead,0.005231077
11,technique,0.0051698824
11,guidance,0.0051062237
11,method,0.0050515537
11,technology,0.0047815847
11,study,0.004741574
11,perform,0.0047166487
11,clinical,0.004659308
11,software,0.0045517827
11,functional,0.004370131
11,ultrasound,0.004131018
11,test,0.0040540895
11,propose,0.004011804
11,such,0.004009324
11,lesion,0.0039039184
11,automate,0.0038232317
11,project,0.003814635
12,volume,0.015387604
12,cardiac,0.014395111
12,age,0.013350937
12,surgery,0.0116356965
12,liver,0.010991656
12,proper,0.010944373
12,patient,0.010761518
12,risk,0.008665951
12,instrument,0.007994342
12,sensitive,0.0079690395
12,project,0.006873436
12,staff,0.006827447
12,unit,0.006805031
12,treatment,0.0064399582
12,measure,0.0063205697
12,cell,0.0061358428
12,spectroscopy,0.0061190883
12,application,0.005841188
12,beta,0.005493789
12,hospital,0.0054877875
12,state,0.0053718826
12,measurement,0.005342603
12,spatial_resolution,0.0053418474
12,course,0.0053401617
12,population,0.005214997
12,relate,0.0051636556
12,heart,0.0050947987
12,diagnosis,0.005071013
12,multimodal,0.004936194
12,status,0.0049297377
13,prosthetic,0.021167623
13,need,0.014828198
13,partial_hand,0.013664062
13,provide,0.011666936
13,control,0.011638854
13,finger,0.011469098
13,hand,0.011063043
13,loss,0.010766422
13,patient,0.010684948
13,myoelectric,0.010667222
13,work,0.0090593435
13,effort,0.008951648
13,people,0.008667656
13,fingertip,0.008426846
13,sensor,0.00805684
13,prosthesis,0.008036753
13,product,0.007877342
13,commercial,0.007207043
13,capability,0.0071120323
13,component,0.0067300843
13,solution,0.0066089053
13,limb,0.006454366
13,meet,0.0062693623
13,mechanical,0.0061802994
13,prosthetist,0.0061610388
13,individual,0.006129338
13,interface,0.0061124186
13,opportunity,0.0060915477
13,user,0.006086176
13,power,0.0060350853
14,surgical,0.031896356
14,tissue,0.023586577
14,procedure,0.019407608
14,platform,0.015782418
14,area,0.013281028
14,surgery,0.012813038
14,microscope,0.0108455
14,video,0.010706707
14,surgeon,0.009399728
14,tool,0.00890555
14,view,0.008315891
14,synthetic,0.007367746
14,anatomy,0.007163832
14,soft,0.0070694895
14,delay,0.006896419
14,instrument,0.006499845
14,failure,0.006370109
14,flow,0.0060403645
14,patch,0.0060050804
14,throughput,0.005800587
14,include,0.0057101576
14,perform,0.005475268
14,mechanism,0.0054294523
14,objective,0.0054168873
14,user,0.0053623663
14,plane,0.0053475383
14,prognosis,0.0053391624
14,ability,0.0052621528
14,cm,0.005084736
14,region,0.004990224
15,coil,0.03454202
15,system,0.030735489
15,magnet,0.017047927
15,array,0.0168078
15,therapy,0.016655046
15,head_neck,0.014134833
15,hardware,0.013061773
15,patient,0.01106542
15,compatible,0.010460294
15,image,0.010408047
15,treatment,0.01030133
15,radiation,0.009678798
15,anatomy,0.009019805
15,modality,0.008897281
15,technology,0.008611373
15,suite,0.00860929
15,cable,0.008182102
15,capability,0.0077592423
15,placement,0.0076662633
15,compact,0.007628358
15,guide,0.007424645
15,imaging,0.007335171
15,mri,0.007328002
15,application,0.0070491927
15,needle,0.006858737
15,field,0.006708465
15,immobilization,0.006472706
15,performance,0.0063315867
15,combination,0.0062199887
15,dependent,0.006201465
16,cost,0.028785672
16,low,0.027476238
16,increase,0.019398347
16,material,0.018940754
16,resolution,0.016896749
16,high,0.0123960525
16,scanner,0.012051799
16,sensitivity,0.010463457
16,property,0.01041366
16,system,0.010318664
16,fast,0.009953458
16,require,0.009649479
16,detection,0.009638523
16,time,0.009404302
16,well,0.0076038158
16,detector,0.0075222314
16,much,0.0074977446
16,energy,0.0072729443
16,current,0.0069907852
16,requirement,0.006783824
16,reduce,0.006651736
16,light,0.0064562494
16,volume,0.006438527
16,short,0.0063349516
16,crystal,0.0061849635
16,long,0.0060764593
16,performance,0.005962265
16,ultra,0.0059345416
16,noise,0.0059138145
16,timing,0.0058000693
