topic,keyword,importance
1,patient,0.011609338
1,contrast,0.011071539
1,surgery,0.009513639
1,enhance,0.008695855
1,volume,0.0085779475
1,training,0.008470181
1,cardiac,0.0072809174
1,risk,0.006755057
1,dose,0.0066619082
1,image,0.006294147
1,age,0.0060400423
1,procedure,0.00584664
1,platform,0.0058424543
1,treatment,0.0054515996
1,liver,0.0052699726
1,endoscope,0.0049870918
1,proper,0.004634704
1,low,0.0046317335
1,surgical,0.0043297037
1,full,0.0043261726
1,gbca,0.004166293
1,method,0.0040360196
1,objective,0.004029672
1,simulation,0.0037716415
1,skill,0.0037011756
1,staff,0.0034722274
1,more,0.003429471
1,reflective,0.00333925
1,increase,0.003306504
1,concern,0.003241867
2,dose,0.016178016
2,radiation,0.014698158
2,image,0.0139295515
2,nerve,0.012689631
2,patient,0.011499001
2,quality,0.011305432
2,cell,0.011024602
2,cancer,0.008795942
2,injury,0.008184824
2,scan,0.008139129
2,risk,0.0068365373
2,lesion,0.006061266
2,imaging,0.005718905
2,chronic,0.0056338264
2,damage,0.0055320184
2,pain,0.00526841
2,surgical,0.0052575213
2,pathology,0.0050971014
2,clinical,0.0050884415
2,value,0.0050600255
2,iatrogenic_nerve,0.004907063
2,surgery,0.004838927
2,ensure,0.00467108
2,safety,0.004205289
2,healthcare,0.004071158
2,practice,0.0035399834
2,robust,0.003455567
2,model,0.0034260408
2,level,0.0033268973
2,performance,0.0032373457
3,system,0.017458038
3,device,0.010866001
3,tissue,0.0070654233
3,patient,0.006953119
3,datum,0.0064213644
3,image,0.006218379
3,performance,0.005992275
3,provide,0.0050498815
3,tool,0.0049665244
3,aim,0.004925058
3,small,0.004523488
3,allow,0.004434038
3,surgeon,0.004287566
3,make,0.003900146
3,surgery,0.0038885698
3,enable,0.0038401983
3,feedback,0.0038118176
3,propose,0.0036575845
3,pathology,0.0036370957
3,monitor,0.0035879377
3,medical,0.0035320085
3,real,0.0034801953
3,instrument,0.0034402139
3,optical,0.0034070879
3,procedure,0.0033952042
3,new,0.0031672183
3,automate,0.0031652811
3,care,0.0031172212
3,large,0.0030356299
3,tumor,0.0030021486
4,phantom,0.008758482
4,surgical,0.0076653133
4,quantitative,0.0069716484
4,procedure,0.006594121
4,liver,0.006339652
4,device,0.006134425
4,needle,0.005685942
4,assay,0.005680395
4,test,0.005275267
4,time,0.005157695
4,need,0.0050700842
4,biomarker,0.0047584004
4,guidance,0.0047370577
4,clinician,0.004657585
4,antibody,0.004561625
4,site,0.004517387
4,stiffness,0.004495132
4,bone,0.004485183
4,fibrosis,0.004243569
4,accurate,0.0042294064
4,tissue,0.003855511
4,allow,0.003842058
4,step,0.0038313423
4,mri,0.0037569476
4,guide,0.0036053115
4,environment,0.0035443215
4,design,0.0035363259
4,lead,0.003419049
4,cell,0.0033710413
4,prototype,0.0033322985
5,patient,0.007684514
5,cell,0.006831428
5,study,0.0066440944
5,disease,0.006641847
5,detect,0.005703342
5,technology,0.0053516966
5,care,0.0051995357
5,sample,0.004677471
5,infection,0.00429515
5,image,0.004141459
5,such,0.0039535966
5,provide,0.0038131052
5,radiotracer,0.003715901
5,early,0.0037047304
5,development,0.00363957
5,imaging,0.0036076824
5,product,0.003586654
5,protein,0.0035570823
5,need,0.00353923
5,area,0.0035302069
5,demonstrate,0.0034967216
5,prosthetic,0.0034559963
5,enable,0.003433276
5,source,0.0033712536
5,test,0.003362976
5,aim,0.0032539552
5,production,0.003168345
5,human,0.0031092884
5,device,0.0030772642
5,identify,0.0029742566
6,imaging,0.01996979
6,high,0.014722023
6,low,0.01140627
6,image,0.010585861
6,system,0.009761064
6,cost,0.008584808
6,ray,0.008460174
6,resolution,0.007874429
6,quality,0.007871322
6,application,0.007721085
6,material,0.007623103
6,sensitivity,0.006464926
6,increase,0.0058427337
6,coil,0.0057151546
6,instrument,0.005667914
6,fast,0.0051464685
6,detection,0.00511769
6,scanner,0.0047776466
6,require,0.004601311
6,time,0.004571202
6,radiation,0.004520445
6,well,0.004406578
6,cell,0.004238381
6,performance,0.0041473084
6,commercial,0.0040958133
6,energy,0.00401963
6,multi,0.004007533
6,array,0.003948439
6,limit,0.0039343196
6,detector,0.0037983165
