topic,keyword,importance
1,infant,0.028566247
1,developmental,0.025531275
1,early,0.024362633
1,treatment,0.022628458
1,brain,0.021929568
1,assessment,0.019858068
1,toxic,0.016971724
1,study,0.014390049
1,role,0.014091713
1,response,0.013397811
1,injury,0.013387322
1,care,0.012929724
1,chronic,0.011474617
1,enable,0.010799475
1,motor,0.010791058
1,therapeutic,0.010737353
1,significant,0.010509175
1,subsequently,0.010452886
1,alter,0.010407081
1,treat,0.009692942
1,screening,0.009405489
1,play,0.009174386
1,compound,0.009068724
1,delay,0.00828703
1,deficit,0.008274779
1,bear,0.007602682
1,development,0.007530236
1,lead,0.0074083144
1,preterm_infant,0.0072347377
1,new,0.006944347
2,human,0.02583317
2,drug,0.019289725
2,treatment,0.01837065
2,model,0.0141022215
2,mouse,0.011687405
2,cell,0.00956767
2,effect,0.009509203
2,cancer,0.0086553935
2,animal,0.008605476
2,protocol,0.008414379
2,man,0.00818357
2,vivo,0.007842374
2,success,0.0076823914
2,efficacy,0.007201983
2,demonstrate,0.007120349
2,molecule,0.0069975057
2,disease,0.0067652324
2,non,0.0066110003
2,small,0.006373179
2,whole,0.0062076924
2,oocyte,0.0058094957
2,ovarian,0.005770572
2,company,0.005722563
2,syndrome,0.00534407
2,cryopreservation,0.005235837
2,other,0.0052063945
2,adult,0.0050974838
2,find,0.0050423522
2,solution,0.005037219
2,research,0.004872423
3,control,0.044092253
3,delivery,0.038716655
3,adjust,0.02090442
3,muscle,0.020055767
3,strategy,0.017123494
3,algorithm,0.016265811
3,design,0.014288448
3,trial,0.014186739
3,express,0.012835793
3,pelvic_floor,0.012184958
3,biomechanical,0.010532226
3,degree_freedom,0.010051392
3,flow,0.009833253
3,automatically,0.008678789
3,intelligent,0.008075678
3,walker,0.007944607
3,carrier,0.0077672102
3,comparable,0.0076880245
3,work,0.0076522743
3,integrated,0.0075115003
3,laboratory,0.007249455
3,understanding,0.007201669
3,feature,0.0069246953
3,injury,0.006888455
3,pelvic,0.006828222
3,very,0.0065474436
