topic,keyword,importance
1,patient,0.011848672
1,blood,0.008893386
1,system,0.00856988
1,device,0.008145466
1,sensor,0.00619286
1,home,0.006006312
1,care,0.0057633887
1,measurement,0.005461412
1,base,0.005416115
1,motor,0.005111685
1,individual,0.004676819
1,stroke,0.0046284758
1,rehabilitation,0.004554247
1,therapy,0.0045292666
1,activity,0.0041295267
1,improve,0.004041739
1,low,0.0039812317
1,infant,0.0038481376
1,disorder,0.0037605504
1,child,0.003643555
1,assay,0.0035594476
1,functional,0.0034619947
1,diet,0.0034125077
1,assessment,0.0034006352
1,newborn,0.003304365
1,whole,0.0032741227
1,control,0.0031962667
1,platform,0.003174226
1,setting,0.0031107864
1,monitor,0.00308183
2,patient,0.009567825
2,endometriosis,0.00707981
2,woman,0.007033897
2,tissue,0.0064139524
2,sperm,0.0063301628
2,treatment,0.0048801
2,human,0.0048017483
2,pain,0.004235738
2,disease,0.0039926115
2,non,0.0039017936
2,pediatric,0.003822965
2,design,0.0035278369
2,technology,0.0035215945
2,cell,0.0035175264
2,cost,0.0033516847
2,mouse,0.003019355
2,product,0.0030100546
2,other,0.0029399744
2,population,0.0029124985
2,system,0.0029005914
2,cancer,0.0028753935
2,provide,0.002867824
2,drug,0.0028440051
2,aim,0.0028298046
2,protocol,0.002751928
2,success,0.002688759
2,man,0.0026648466
2,solution,0.002642148
2,fertility,0.002472709
2,whole_ovary,0.002450838
3,pediatric,0.0073589673
3,model,0.0070785224
3,infant,0.0059252987
3,delivery,0.0058553815
3,contraceptive,0.005723528
3,design,0.0056768665
3,human,0.005419936
3,woman,0.0052751224
3,device,0.005185247
3,study,0.00516352
3,treatment,0.0043329145
3,datum,0.003996658
3,drug,0.00379949
3,system,0.003787514
3,risk,0.0035829267
3,control,0.0035528573
3,efficacy,0.0035107278
3,release,0.0034847786
3,airway,0.003378202
3,effect,0.0033230174
3,clinical,0.0032781365
3,safety,0.0032611254
3,neonatal,0.0029506267
3,demonstrate,0.0028541444
3,evaluate,0.002822618
3,non,0.002796641
3,anti,0.0027857525
3,vaginal,0.002761475
3,pregnancy,0.0027485758
3,growth,0.002744656
4,child,0.017833324
4,parent,0.01133411
4,intervention,0.009022776
4,health,0.00814631
4,program,0.006455142
4,base,0.0057034595
4,sexual,0.0056263027
4,test,0.0055318573
4,adolescent,0.0055028615
4,training,0.0054922258
4,skill,0.0053328425
4,safety,0.0050711795
4,testing,0.0046810918
4,seat,0.0045714434
4,datum,0.004473151
4,education,0.0043931273
4,behavior,0.0043023503
4,school,0.0041240323
4,youth,0.0040466967
4,game,0.0033979893
4,propose,0.0033765812
4,evaluate,0.0032956689
4,content,0.0032734196
4,high,0.003261931
4,other,0.0032192233
4,result,0.0029892088
4,increase,0.0029822832
4,technology,0.0029568041
4,family,0.0029398534
4,outcome,0.002916822
