topic,keyword,importance
1,disease,0.07230812
1,biofilm,0.056478284
1,model,0.05211367
1,bacterial,0.038999695
1,lead,0.03481283
1,diagnosis,0.025448427
1,infection,0.024887132
1,non,0.0242008
1,response,0.022741713
1,pediatric,0.02182352
1,rapid,0.014070602
1,primary,0.013125429
1,formulation,0.013035096
1,bacteria,0.012790716
1,resolve,0.010966659
1,clear,0.010933067
1,management,0.010723737
1,alone,0.010491498
1,natural,0.010243445
1,birth,0.009969051
1,defense,0.009164085
1,infectious,0.009164058
1,structural,0.009152347
1,surgical,0.009105281
1,capture,0.009086481
1,stability,0.009085486
1,mechanism,0.009020663
1,detect,0.008946146
1,advanced,0.008228219
1,manufacturing,0.008216409
2,speech,0.06359685
2,infant,0.05069449
2,testing,0.026504075
2,improve,0.025509123
2,objective,0.021697778
2,disease,0.018216925
2,assessment,0.018003298
2,early,0.017111393
2,brain,0.016164793
2,care,0.01525516
2,symptom,0.0142922355
2,diagnosis,0.013938534
2,sound,0.013540156
2,digital,0.012942013
2,development,0.012291612
2,device,0.0121372985
2,intervention,0.012095939
2,behavioral,0.011853239
2,language,0.011476534
2,automate,0.011198449
2,caregiver,0.010956424
2,direct,0.010926694
2,scientifically,0.010831605
2,characteristic,0.010630054
2,trial,0.010048271
2,determine,0.009647175
2,conduct,0.0095291985
2,voice,0.00864848
2,build,0.008574548
2,age,0.008530209
3,device,0.016503131
3,quality,0.012904557
3,system,0.010293051
3,diagnostic,0.010184925
3,technology,0.009998883
3,provide,0.009723515
3,other,0.009660977
3,patient,0.009265169
3,new,0.008904433
3,hearing,0.008897051
3,research,0.008314915
3,tool,0.007043106
3,audiology,0.0068745525
3,achieve,0.0063294573
3,need,0.0063078366
3,researcher,0.0062609557
3,strong,0.0057868888
3,audiologist,0.0056359475
3,assessment,0.0055665406
3,processing,0.005405118
3,interface,0.005404495
3,middle_ear,0.0053350637
3,setting,0.005266767
3,testing,0.0052580107
3,increase,0.005213391
3,product,0.0052008564
3,algorithm,0.005120384
3,surgery,0.004870075
3,microphone,0.0048606563
3,change,0.004860614
4,patient,0.02257933
4,insertion,0.019736055
4,system,0.016767872
4,study,0.012409131
4,tool,0.011739837
4,significant,0.010620576
4,control,0.009916377
4,result,0.009910535
4,electrode,0.009802507
4,proposal,0.009483864
4,surgeon,0.008889595
4,time,0.008606708
4,loss,0.008566428
4,real,0.008085166
4,clinical,0.007852185
4,infection,0.0077926037
4,surgery,0.0077291694
4,perforation,0.0074168653
4,completion,0.0074147615
4,rate,0.0073041497
4,evaluate,0.00713648
4,successfully,0.007072511
4,ear,0.0070400327
4,improve,0.0064475816
4,initiation,0.006327776
4,verify,0.006327608
4,aim,0.0060312822
4,tympanostomy_tube,0.0059682284
4,feedback,0.0059508076
4,procedure,0.005841364
5,drug,0.047032982
5,cisplatin,0.036860146
5,induce,0.036475185
5,hearing_loss,0.025190724
5,compound,0.023562878
5,cancer,0.022115584
5,efficacy,0.021285657
5,hear_loss,0.020452308
5,cell,0.019125829
5,study,0.018318592
5,mouse,0.018301645
5,inhibitor,0.017815633
5,candidate,0.016308464
5,treat,0.014920838
5,clinical,0.014805155
5,most,0.013026227
5,vivo,0.012958967
5,patent,0.012892106
5,model,0.012706333
5,approve,0.012393094
5,perform,0.011766703
5,activity,0.011635098
5,tumor,0.011577361
5,therapeutic,0.011103286
5,anti,0.011078532
5,trial,0.010774126
5,patient,0.010739023
5,interfere_cisplatin,0.010264283
5,protection,0.010234959
5,pharmaceutical_company,0.009964387
6,high,0.03240356
6,channel,0.024292333
6,inner_ear,0.021725083
6,clinically,0.01406502
6,balance,0.013819153
6,strength,0.013323621
6,resolution,0.013323247
6,auditory_nerve,0.012699898
6,rapidly,0.012368663
6,auditory,0.012155103
6,new,0.010803961
6,expand,0.0106771495
6,range,0.01045418
6,project,0.0103587145
6,electrode,0.010255102
6,include,0.010112548
6,current,0.010014124
6,program,0.009747123
6,onset,0.009739584
6,prove,0.00965295
6,imaging,0.009382565
6,human,0.009153516
6,demonstrate,0.008930463
6,approach,0.0088289445
6,far,0.0077360123
6,stimulator,0.0076326546
6,implantable,0.007632639
6,count,0.007632639
6,space,0.006974245
6,so,0.006700613
7,award,0.03133413
7,ear,0.023492793
7,simulator,0.021051377
7,infection,0.020415956
7,mo,0.015112016
7,clinical,0.012164081
7,most,0.0116212815
7,child,0.011486697
7,lead,0.011024973
7,technology,0.010192616
7,invent,0.009778775
7,ot,0.009635267
7,otoscope,0.009206197
7,antibiotic,0.008975891
7,response,0.008812645
7,month,0.008344472
7,detection,0.008089455
7,patent_pende,0.007888563
7,too,0.007886093
7,technical_merit,0.007885628
7,course,0.007881639
7,unnecessary,0.0077325855
7,guideline,0.00772988
7,assess,0.006249766
7,led,0.0058297897
7,slow,0.005828822
7,resistant,0.005690882
7,collection,0.0055353954
7,acoustic,0.005267197
7,different,0.0052362834
8,patient,0.035037816
8,rehabilitation,0.02119547
8,audio,0.020681301
8,old,0.016398791
8,clinical,0.0147085
8,app,0.014489946
8,pattern,0.013746246
8,earbud,0.01374593
8,visit,0.013363818
8,improve,0.012985693
8,research,0.012700884
8,perception,0.012512374
8,perform,0.012132809
8,monitoring,0.011458223
8,monitor,0.011409863
8,home,0.010477845
8,component,0.010371002
8,vestibular_rehabilitation,0.010324241
8,individual,0.009828354
8,remote,0.009509917
8,investigate,0.009466519
8,program,0.0094118565
8,project,0.009082947
8,difficult,0.008694149
8,fall,0.008687974
8,expedite,0.008349233
8,adherence,0.008272256
8,game,0.008272211
8,exercise,0.008271099
8,allow,0.0082640415
9,tinnitus,0.032553896
9,high,0.024065576
9,drug,0.020846594
9,toxicity,0.01997299
9,study,0.016030118
9,activity,0.014459095
9,prevent,0.014345592
9,treat,0.013443101
9,analog,0.0114528
9,inflammatory,0.01144369
9,blood,0.011393389
9,enable,0.011252827
9,development,0.010833773
9,calcium,0.009838668
9,new,0.009341481
9,induce,0.008863574
9,pathway,0.008456654
9,approve,0.008360496
9,chemical,0.008118452
9,generation,0.0074822195
9,candidate,0.0074735465
9,investigational,0.007300381
9,target,0.007106415
9,datum,0.007037885
9,dependent,0.0068377047
9,case,0.006627047
9,channel,0.006593644
9,signal,0.0065926886
9,scientific,0.0065416754
9,increase,0.0065393825
10,therapy,0.017765641
10,non,0.015230673
10,base,0.011520771
10,aim,0.011205707
10,home,0.010786587
10,patient,0.0102953855
10,potential,0.010272282
10,otoprotective,0.009242581
10,lead,0.008844116
10,population,0.008823698
10,support,0.008722756
10,therefore,0.008662174
10,online,0.008565266
10,follow,0.008123027
10,feedback,0.007650865
10,satisfaction,0.00762793
10,health,0.007558399
10,application,0.0072307745
10,number,0.007177232
10,hear_loss,0.007161392
10,individual,0.007012985
10,infection,0.0069870795
10,people,0.0069745877
10,treatment,0.006950845
10,dosage,0.0069177197
10,schedule,0.0065168105
10,experience,0.0064175595
10,medical,0.006209171
10,speech,0.005998101
10,age,0.0059848237
11,implant,0.023930416
11,current,0.014333925
11,material,0.011841715
11,metal,0.0111528905
11,only,0.009535023
11,contain,0.009447493
11,encapsulation,0.009341083
11,component,0.009010563
11,complex,0.008282629
11,available,0.008078618
11,open,0.0076831784
11,very,0.007336219
11,medical,0.007181517
11,design,0.0071202125
11,consultant,0.0069230064
11,more,0.006920292
11,sequelae,0.0068971147
11,property,0.0067530647
11,geometry,0.0063245925
11,stable,0.006258585
11,now,0.006257005
11,require,0.0061062938
11,sense,0.0059275753
11,performance,0.005721201
11,show,0.00545817
11,new,0.0054349126
11,field,0.0053125536
11,implantable,0.0052476097
11,electrode,0.0052020974
11,long_term,0.0051798997
12,recovery,0.030044481
12,minimum,0.021593744
12,conjunction,0.021587886
12,repair,0.0176218
12,site,0.01696883
12,injury,0.016808055
12,piece,0.015337831
12,nerve,0.0151588265
12,occur,0.014179842
12,improve,0.013782742
12,graft,0.011899496
12,axon,0.009150097
12,migration,0.009043657
12,previous,0.0077666836
12,effect,0.006672266
12,extension,0.0061647957
12,vfp,0.006164319
12,consequence,0.0058988063
12,event,0.0058750436
12,modify,0.0034615789
12,little,0.003393222
12,correct,0.0031899326
12,practice,0.003178421
12,peak,0.0031783348
12,prolong,0.0031783334
12,local,0.0031783155
12,encounter,0.0031783008
12,neuromuscular_junction,0.003178253
12,accumulate,0.0031781571
12,mainly,0.0031781315
13,voice,0.041972324
13,speech,0.040474057
13,need,0.017644756
13,system,0.014662196
13,restore,0.0138403205
13,vocal,0.013472042
13,laryngeal,0.012423237
13,natural,0.012322919
13,mobile,0.01077498
13,conversational,0.010154049
13,training,0.0093843015
13,child,0.008946793
13,such,0.008878025
13,technology,0.008635014
13,time,0.0084940195
13,real,0.0084332945
13,word,0.00802108
13,device,0.007658152
13,personalized,0.00755152
13,text,0.007340683
13,personalize,0.0072683
13,residual,0.007130481
13,single,0.006418694
13,have,0.006274486
13,custom,0.006064619
13,face,0.005928075
13,participant,0.005727032
13,advance,0.0056536794
13,post,0.005625052
13,rate,0.0056245467
14,research,0.02562978
14,sound,0.022905182
14,include,0.020029893
14,hear,0.017452896
14,development,0.016913138
14,hear_aid,0.01684504
14,project,0.015434937
14,open,0.014887504
14,source,0.014307658
14,audio,0.0135813
14,tool,0.013183008
14,hearing_loss,0.010773274
14,test,0.009933919
14,platform,0.009884107
14,software,0.009762319
14,adult,0.009647071
14,hearing,0.0091770785
14,user,0.008690273
14,hearing_aid,0.008652876
14,hardware,0.008317802
14,generate,0.007636707
14,system,0.007564199
14,validate,0.00737749
14,signal,0.0068828147
14,algorithm,0.006376459
14,amplification,0.006206219
14,support,0.006182587
14,smartphone,0.0061724847
14,ha,0.006110939
14,condition,0.005892533
15,hypothermia,0.019653495
15,device,0.019031938
15,probe,0.018130355
15,training,0.016197402
15,residual_hearing,0.014943401
15,stimulus,0.014799312
15,preservation,0.013704928
15,hearing,0.012702877
15,inner_ear,0.012403355
15,memr,0.011536331
15,approach,0.011472315
15,therapeutic,0.011424945
15,localize,0.011322603
15,system,0.010387692
15,speech_recognition,0.010318912
15,response,0.0101296045
15,cochlear_implantation,0.009799419
15,study,0.009253355
15,neural,0.008968567
15,hair,0.008946209
15,cell,0.008344567
15,structure,0.008243906
15,delivery,0.008161194
15,therapy,0.0078632105
15,outcome,0.0077691297
15,long_term,0.0077046603
15,protocol,0.007653635
15,frequency,0.0074779172
15,improve,0.0074651255
15,preclinical,0.007412802
16,speech,0.031847678
16,noise,0.028540483
16,listener,0.024371278
16,signal,0.023879958
16,measure,0.020350307
16,babble,0.01819913
16,multiple,0.016588155
16,clinical,0.016291762
16,algorithm,0.016072078
16,computational,0.0143598495
16,acoustic,0.013501949
16,perceptual,0.013285917
16,remove,0.0098514445
16,outcome,0.009117726
16,manufacturer,0.009109911
16,slp,0.0087324055
16,evaluate,0.008730944
16,environment,0.008369411
16,metric,0.00836773
16,quiet,0.008364809
16,practice,0.007956914
16,change,0.007862061
16,effect,0.007826716
16,user,0.007565996
16,commercial,0.007345248
16,obtain,0.006983777
16,extremely,0.00671392
16,evaluation,0.006620028
16,specific,0.0064966134
16,processing,0.0062171523
17,communication,0.037473105
17,user,0.032913722
17,interface,0.02725037
17,severe,0.024559254
17,evaluate,0.019759517
17,access,0.018415801
17,training,0.018151216
17,resource,0.016204845
17,people,0.015284721
17,clinical,0.0151485065
17,meet,0.015122581
17,support,0.014577029
17,application,0.014119741
17,software,0.013849224
17,device,0.013044706
17,impairment,0.012869403
17,design,0.012845463
17,clinician,0.012436467
17,create,0.010836364
17,target,0.01056034
17,optimize,0.010006499
17,system,0.009949612
17,language,0.009355953
17,production,0.008480446
17,laboratory,0.008453266
17,widely,0.008363618
17,prototype,0.008146583
17,trial,0.008028853
17,aac,0.007575122
17,complete,0.0073877894
18,psap,0.031261586
18,approval,0.021473236
18,accomplish,0.020404756
18,application,0.01525765
18,optimize,0.011582086
18,smartphone,0.010908305
18,convenient,0.007107723
18,recently,0.0070437402
18,objective,0.006495312
18,comorbiditie,0.0036690924
18,volume,0.003669058
18,psaps,0.0036690568
18,fine_tune,0.003669034
18,inexperienced,0.0036690275
18,prescriptive,0.003669
18,demographic,0.003669
18,overcome,0.0036689828
18,tend,0.0036689776
18,reporting,0.0036689744
18,cite,0.0036689579
18,default,0.0036689485
18,exceptionally,0.0036688903
18,audibility,0.0036688596
18,appointment,0.003668849
18,daily_living,0.0036687464
18,equalizer,0.0036686845
18,unwilling,0.0036686463
18,unamplified,0.0036684272
18,customization,0.003668149
18,segment,0.003667416
19,array,0.03939433
19,cochlear_implant,0.025271812
19,print,0.021220187
19,assembly,0.020290678
19,produce,0.015368946
19,pluggable,0.014276814
19,compatible,0.014276768
19,hand,0.014111799
19,electrode,0.012964107
19,requirement,0.01218937
19,pin,0.011185165
19,connector,0.01110161
19,manufacturing,0.010576411
19,solution,0.010574954
19,manufacture,0.010261455
19,advanced,0.010191546
19,stimulator,0.009094931
19,plug_play_cochlear,0.009094829
19,comply,0.009094743
19,cochlear,0.008536944
19,micro_socket,0.008091439
19,plug_play,0.008091399
19,size,0.0076723434
19,readily,0.007305727
19,ten,0.007170777
19,biocompatible,0.0071706492
19,resolution,0.007170611
19,extremely,0.007133712
19,feedthrough_pin,0.0070880246
19,integrate,0.0070872386
20,prevent,0.023421448
20,determine,0.01768975
20,novel,0.016158301
20,child,0.0148705775
20,optimal,0.014705066
20,language,0.014622572
20,acute,0.013899307
20,nearly,0.0136929145
20,induce,0.013544332
20,treatment,0.011471262
20,hearing_loss,0.011224468
20,critical,0.011003948
20,low,0.0103980005
20,experiment,0.010204808
20,position,0.010088199
20,cell,0.009588066
20,highly,0.009561031
20,conversation,0.009453346
20,mimic,0.009244674
20,once,0.009011688
20,delay,0.008491405
20,purpose,0.008490308
20,early,0.008237018
20,snhl,0.00807803
20,then,0.008071326
20,however,0.008060148
20,well,0.007937041
20,many,0.007853675
20,case,0.007732814
20,therapy,0.0075296694
21,taste,0.021892257
21,human,0.021882048
21,platform,0.019986704
21,cell,0.01961766
21,improve,0.015229006
21,health,0.014534681
21,bitter_taste_antagonist,0.014301619
21,proposal,0.014224953
21,medicine,0.011451416
21,receptor,0.011449029
21,bioassay,0.010502745
21,bitter,0.010502729
21,bitter_blocker,0.010502517
21,sttr,0.009508483
21,key,0.009385059
21,bitter_responsive_htbec,0.008605181
21,salt,0.008602605
21,bitter_taste_receptor,0.00860246
21,htbec,0.008601733
21,specific,0.008226659
21,aim,0.008151418
21,poor,0.008145854
21,commercial,0.007793172
21,send,0.0077839405
21,challenge,0.0077718636
21,culture,0.007654649
21,nutritional,0.007654478
21,sugar,0.0076543065
21,compliance,0.0076494017
21,line,0.0075326944
22,mode,0.019776858
22,application,0.017209413
22,expressive_mode,0.016624575
22,gather,0.014288876
22,limitation,0.013170115
22,datum,0.012705291
22,exercise,0.012701111
22,test,0.012396904
22,randomize,0.012066129
22,feedback,0.010959856
22,design,0.010674695
22,program,0.010314757
22,evaluate,0.009608779
22,adherence,0.009562564
22,old_adult,0.0095488755
22,pilot,0.009543295
22,address,0.009522959
22,standard,0.009515563
22,outcome,0.009478445
22,current,0.009399105
22,delivery,0.009146161
22,app,0.009142018
22,model,0.009076905
22,study,0.008791145
22,home,0.008423015
22,emotion,0.008111635
22,neutral,0.008105416
22,intention,0.008104305
22,technology,0.007992823
22,stakeholder,0.007984152
23,base,0.012189642
23,current,0.008277218
