topic,keyword,importance
1,implant,0.013922306
1,bone,0.010407873
1,sample,0.009314789
1,health,0.008142999
1,approach,0.00728859
1,test,0.0072231693
1,control,0.0071466523
1,application,0.0070201145
1,parent,0.006707931
1,pattern,0.0060020047
1,aptamer,0.0057482286
1,infection,0.005698037
1,feedback,0.00559598
1,jaw,0.005455515
1,structure,0.005434377
1,combination,0.005397511
1,procedure,0.0052878116
1,build,0.0052329227
1,bind,0.0051571154
1,diagnostic,0.005059584
1,project,0.0050351853
1,rapid,0.0048059477
1,oral,0.004805166
1,program,0.0048028706
1,virus,0.0047660596
1,preventive,0.0045415596
1,critical,0.0044014775
1,aim,0.004366227
1,make,0.0042668255
1,order,0.004176445
2,treatment,0.01840989
2,distraction,0.015009374
2,device,0.013718181
2,system,0.013640282
2,surgical,0.012003899
2,increase,0.012000982
2,bone,0.009171746
2,need,0.00861832
2,well,0.008615221
2,serious,0.008554473
2,outcome,0.008547768
2,time,0.008434701
2,expansion,0.008162388
2,open,0.008161998
2,implant,0.008083853
2,design,0.007971594
2,infection,0.007868411
2,easy,0.0077181556
2,do,0.0077052657
2,long,0.007636342
2,therefore,0.006910812
2,monitor,0.0067781913
2,growth,0.0067259595
2,indication,0.0065176627
2,surgery,0.0062253308
2,manual,0.00587986
2,external,0.0058797263
2,progress,0.005879695
2,affect,0.0058616796
2,scar,0.0055568675
3,study,0.04258997
3,bone,0.031056754
3,dental_implant,0.01932529
3,clinical,0.018681483
3,scaffold,0.01669948
3,device,0.016371056
3,defect,0.014707055
3,healing,0.0138342045
3,regeneration,0.013764756
3,pre,0.013555047
3,exist,0.012958076
3,patient,0.012680466
3,trial,0.011889239
3,shape,0.011508023
3,animal,0.0111035425
3,implant,0.010096347
3,model,0.0098133655
3,due,0.009799578
3,perform,0.009269744
3,control,0.008953044
3,current,0.00887354
3,match,0.00861068
3,receive,0.0085075805
3,critical,0.008383
3,cost,0.0083596995
3,high,0.008334475
3,limitation,0.008305724
3,early,0.008298213
3,require,0.00776309
3,bone_grafting,0.00749764
4,performance,0.022418661
4,intraoral,0.01786747
4,dental,0.017232204
4,imaging,0.017045718
4,ray,0.016655099
4,image,0.011549085
4,main,0.009760803
4,restoration,0.009266433
4,detector,0.009174331
4,comparable,0.008495239
4,grid,0.008054222
4,small,0.0078913905
4,traditional,0.0075732325
4,industry,0.0072698477
4,work,0.0069843754
4,project,0.0067356117
4,additive,0.0067350618
4,spatial_resolution,0.006734955
4,accuracy,0.0066622845
4,digital,0.0066050743
4,scatter,0.0063670184
4,crown,0.006095438
4,scintillator,0.0054165577
4,achieve,0.005277126
4,resolution,0.0047873897
4,cost,0.0047480566
4,radiation,0.004628776
4,dose,0.0045990665
4,dental_cbct,0.0042214678
4,sensor,0.0040978645
5,model,0.019157924
5,formulation,0.016042532
5,treatment,0.014935465
5,disease,0.014659822
5,follow,0.012625629
5,periodontitis,0.012614104
5,human,0.011873306
5,periodontal,0.011444678
5,drug,0.009465287
5,cell,0.0093978625
5,target,0.00850212
5,therapeutic,0.0077157356
5,loss,0.0073590796
5,oral,0.007298854
5,opioid,0.006955564
5,dose,0.006577113
5,develop,0.006488276
5,pain,0.0061946954
5,clinical,0.0061626257
5,release,0.006144335
5,demonstrate,0.0059910123
5,systemic,0.0059501645
5,delivery,0.0059358394
5,product,0.005698064
5,protein,0.0055576987
5,complete,0.005456689
5,biofilm,0.005385029
5,mouse,0.005242768
5,bone,0.005181899
5,determine,0.0051252027
6,pediatric,0.023096638
6,child,0.02306043
6,infant,0.022334553
6,early,0.02224858
6,head,0.021949261
6,condition,0.021844756
6,health,0.019987306
6,tool,0.018302822
6,care,0.016305558
6,visit,0.014500795
6,mobile,0.014176586
