topic,keyword,importance
1,cell,0.05317507
1,insulin,0.04594849
1,preservation,0.013472316
1,glucose,0.012571502
1,pancreatic,0.010914448
1,tissue,0.010461868
1,diabetic,0.00923222
1,level,0.00876351
1,control,0.008382903
1,blood,0.0077741607
1,produce,0.0074274833
1,hydrogel,0.007282456
1,deficiency,0.0065196357
1,therapy,0.0063594873
1,injection,0.0058539063
1,skl,0.0057591135
1,first,0.005579895
1,type,0.0052725603
1,protect,0.005266063
1,compound,0.0052541746
1,capable,0.0052444646
1,rare,0.0052179713
1,islet,0.0051295473
1,therapeutic,0.005085788
1,daily,0.005034046
1,cardiovascular,0.005033734
1,potential,0.005006511
1,alter,0.0049256324
1,bind,0.004789243
1,beta,0.004646151
2,assay,0.037411515
2,test,0.024309976
2,platform,0.021741498
2,sample,0.016941985
2,validate,0.01021746
2,analysis,0.010156401
2,autoantibody,0.009989229
2,research,0.009575931
2,biomarker,0.009334655
2,laboratory,0.00926003
2,detection,0.008305368
2,diagnostic,0.0080547705
2,development,0.0076937275
2,detect,0.0075717983
2,base,0.0073706917
2,process,0.0072806673
2,cost,0.0070023383
2,testing,0.0067653167
2,diabetes,0.0066172983
2,throughput,0.0065832986
2,diagnosis,0.006522005
2,automate,0.0063635325
2,team,0.0063427486
2,screen,0.006055698
2,marker,0.006002016
2,accuracy,0.005706846
2,quantitative,0.005675509
2,diagnose,0.005617041
2,program,0.0055480697
2,disease,0.005545592
3,study,0.043072414
3,ostomy,0.03541044
3,diabetic,0.03471654
3,wound,0.024297679
3,wound_healing,0.021387544
3,stoma,0.020877915
3,clinical,0.015910894
3,complete,0.014123091
3,inflammation,0.013915626
3,surgery,0.013747005
3,skin,0.011960034
3,pouch,0.0118547715
3,development,0.010225624
3,dfu,0.00994825
3,impairment,0.009452828
3,infection,0.009424004
3,prevent,0.009236248
3,tp,0.008973071
3,oxidative_stress,0.008945382
3,benefit,0.008770194
3,serious,0.008760306
3,post,0.008673937
3,design,0.00858462
3,healing,0.008470952
3,condition,0.008320789
3,efficacy,0.008268927
3,chronic,0.007775632
3,therapy,0.007048744
3,correct,0.0068387557
3,heal,0.0067539928
4,kidney,0.06703581
4,renal,0.03254452
4,blood,0.022891141
4,urgently,0.015615985
4,therapy,0.013448576
4,dialysis,0.01228378
4,biopsy,0.011693742
4,function,0.009782367
4,flow,0.00959657
4,filter,0.007909929
4,high,0.0076226895
4,image,0.00719202
4,hemodialysis,0.007038058
4,replacement,0.0068147276
4,reduce,0.006608042
4,care,0.0061689545
4,death,0.005916391
4,circuit,0.005847953
4,prime,0.0057480983
4,measure,0.005362002
4,level,0.005141624
4,pathology,0.0050672805
4,metric,0.004894677
4,volume,0.004787303
4,damage,0.004657926
4,improve,0.0046063913
4,tissue,0.004549132
4,membrane,0.0045251884
4,then,0.0044667753
4,end,0.004450812
5,device,0.06842251
5,complication,0.0429027
5,hospitalize,0.0314014
5,design,0.023994852
5,body,0.017070726
5,manufacturability,0.016611978
5,glucose,0.016512828
5,system,0.015210516
5,insulin,0.012304862
5,patient,0.012227778
5,sensor,0.011212758
5,surgery,0.0097829355
5,attach,0.009610103
5,continuous,0.009498915
5,ensure,0.009115447
5,disposable,0.008939338
5,little,0.008917074
5,ulcerative_colitis,0.008579366
5,secure,0.008355536
5,enable,0.008261906
5,delivery,0.008258396
5,verify,0.008171036
5,small,0.00810415
5,regimen,0.008055227
5,pathophysiologic,0.007817238
5,management,0.0074257143
5,surgical,0.0065691997
5,child,0.006537752
5,pump,0.0063404897
5,sense,0.0061958614
6,patient,0.040210143
6,study,0.021836799
6,complete,0.016895067
6,hour,0.010616277
6,waste,0.010430649
6,trial,0.008963883
6,fluid,0.008751449
6,propose,0.008255629
6,safety,0.007821279
6,clinical,0.0077983146
6,clearance,0.007346981
6,diagnosis,0.0072480594
6,design,0.0070900754
6,procedure,0.006966114
6,device,0.0068619377
6,bladder,0.006822042
6,manufacture,0.0067825355
6,datum,0.0067292443
6,set,0.006564208
6,low,0.0065042223
6,pass,0.0064803683
6,rate,0.006405993
6,financial,0.0063436497
6,hospitalization,0.0063345153
6,colorectal,0.0062523927
6,clear,0.0062356787
6,improve,0.006075594
6,engineering,0.006029965
6,pain,0.0060204268
6,post,0.005918177
7,liver,0.033912458
7,lead,0.0130950995
7,cell,0.012557201
7,nash,0.012476533
