topic,keyword,importance
1,chemical,0.026239911
1,exposure,0.016493712
1,monitor,0.015041009
1,test,0.013468293
1,device,0.011854838
1,datum,0.009142009
1,particle,0.008679519
1,instrument,0.0079758465
1,concentration,0.0077666566
1,mercury,0.006819879
1,monitoring,0.006487785
1,industry,0.0064112097
1,need,0.0063997833
1,detect,0.0061131725
1,cost,0.0059536626
1,human,0.005883509
1,reproductive,0.0055807815
1,sensor,0.0055408566
1,class,0.005144834
1,personal,0.0051321015
1,most,0.005059761
1,validate,0.0050439034
1,thm,0.004807603
1,help,0.004797198
1,multiple,0.0047346447
1,data,0.004704486
1,improve,0.004577733
1,cause,0.004550086
1,research,0.0045128698
1,sensitivity,0.0043440675
2,model,0.023915496
2,cell,0.021250859
2,human,0.017316228
2,toxicity,0.012598908
2,animal,0.010551877
2,datum,0.010331093
2,assay,0.00994349
2,chemical,0.009721476
2,response,0.008747908
2,drug,0.008440746
2,compound,0.008172661
2,testing,0.00644699
2,test,0.0063682282
2,tissue,0.006313813
2,system,0.006135474
2,culture,0.005586167
2,assessment,0.00544309
2,well,0.005440962
2,vivo,0.0053263493
2,screening,0.005294827
2,organoid,0.005121249
2,high,0.004994125
2,gene,0.004822969
2,toxicology,0.0047900844
2,throughput,0.004738183
2,method,0.004307469
2,liver,0.004300333
2,analysis,0.0041092504
2,enable,0.00404604
2,predict,0.0040049646
3,worker,0.039875094
3,safety,0.01781855
3,campaign,0.010413848
3,wage,0.01015451
3,pandemic,0.00900977
3,audience,0.008638732
3,disseminate,0.008476111
3,literacy,0.007766304
3,pathogen,0.007506874
3,essential,0.0074523087
3,theft,0.00680794
3,security,0.0068002255
3,organization,0.0066881143
3,proactively,0.0058840774
3,training,0.005702536
3,include,0.0054773595
3,mail,0.0051255003
3,coronavirus,0.0048798234
3,support,0.004441242
3,microbiological,0.004358868
3,time,0.004308467
3,recommendation,0.004213745
3,efficacy,0.004190956
3,encourage,0.0038746898
3,just,0.003872914
3,remote,0.0038466959
3,behavior,0.0037337632
3,discrimination,0.003460885
3,interdisciplinary_team,0.003460885
3,english_speaking,0.003460885
4,pm,0.025755709
4,air_pollution,0.024689281
4,renal,0.0116321
4,premature,0.0111938575
4,kidney,0.0107263345
4,enrichment,0.009973698
4,communication,0.0091250455
4,hypothesis,0.008740922
4,detailed,0.008473713
4,platform,0.0074777217
4,description,0.006686394
4,urban,0.0065514334
4,visualization,0.006217658
4,pulmonary,0.005978673
4,unaware,0.005345787
4,introduce,0.0052531245
4,keep_pace,0.0052098827
4,particulate_matter_pm,0.005209865
4,semantic,0.0050425245
4,negative,0.0044537387
4,gravimetric,0.0043997727
4,nicotine,0.004318831
4,mortality,0.004149435
4,respiratory_tract,0.0041494337
4,µm,0.0040279315
4,tobacco,0.004012906
4,translation,0.003998034
4,proceed,0.003487688
4,toxgraph,0.0033986557
4,obstacle,0.0033444422
5,detection,0.017553806
5,sample,0.011163088
5,lead,0.010285015
5,rapid,0.009578153
5,technology,0.0095442
5,field,0.009173251
5,accurate,0.008881719
5,low,0.008813988
5,analysis,0.008092404
5,exposure,0.00791903
5,zone,0.0076541556
5,water,0.007104447
5,scale,0.007011684
5,cost,0.006873368
5,remediation,0.006295168
5,site,0.006257803
5,project,0.005770161
5,level,0.0056825606
5,sensitive,0.005667692
5,increase,0.0054417127
5,phase,0.0052930624
5,device,0.005280775
5,portable,0.004914376
5,customer,0.0048811105
5,sensor,0.004814057
5,program,0.004661951
5,market,0.0046388884
5,voc,0.0045498987
5,area,0.0044395193
5,biomonitoring,0.0044299127
6,training,0.030903345
6,patient,0.008912487
6,make,0.0074317954
6,system,0.0074123717
6,trainee,0.0071410057
6,scenario,0.006464285
6,field,0.0061399243
6,program,0.0055411565
6,first,0.005180413
6,emergency,0.0051147128
6,knowledge,0.005040387
6,realistic,0.004980079
6,exercise,0.004951167
6,responder,0.004815704
6,game,0.0046069585
6,sensor,0.0045501413
6,community,0.0043444303
6,sequence,0.0042193523
6,test,0.0042021647
6,response,0.0040901676
6,poisoning,0.004089333
6,assay,0.0040658433
6,group,0.00403274
6,worker,0.0038929002
6,individual,0.003808344
6,team,0.0037278964
6,experience,0.0036364808
6,performance,0.003567233
6,tool,0.0034085994
6,intervention,0.0033672252
7,exposure,0.02043535
7,product,0.01585131
7,risk,0.011662436
7,consumer,0.007676327
7,time,0.007121153
7,air,0.005511499
7,source,0.0054278164
7,analysis,0.0054041483
7,release,0.00518822
7,work,0.005176967
7,system,0.005082992
7,monitoring,0.0049327663
7,concentration,0.004795986
7,range,0.0047677215
7,hazard,0.004697789
7,platform,0.0046291705
7,new,0.004545252
7,real,0.004517306
7,market,0.004515053
7,service,0.0044718087
7,sample,0.004419083
7,assessment,0.0042906846
7,present,0.0041689207
7,technology,0.004112647
7,sensor,0.0039529884
7,size,0.0038481313
7,enm,0.0037844854
7,generate,0.003772357
7,indoor,0.00375694
7,personal,0.0037287474
8,city,0.016618304
8,air_pollutant,0.014069009
8,program,0.012892518
8,datum,0.012363544
8,community,0.011507755
8,time,0.010319255
8,measurement,0.009977285
8,commercial,0.009598619
8,air,0.008967862
8,multivariate,0.008952417
8,base,0.008854441
8,space,0.0084968135
8,spatial,0.0079509495
8,different,0.007566552
8,low,0.006390409
8,software,0.0062585007
8,tool,0.0062163845
8,model,0.006130148
8,monitoring,0.005946843
8,project,0.00592203
8,air_pollution,0.005863522
8,available,0.0055266665
8,cost,0.0055049914
8,geostatistical,0.005394767
8,accurate,0.0049911793
8,here,0.004938177
8,usability,0.004805224
8,uncertainty,0.0047706272
8,quality,0.004609777
8,sbir,0.0045703114
9,water,0.037852526
9,technology,0.023568796
9,lead,0.020323431
9,treatment,0.011007576
9,cost,0.010352974
9,contaminant,0.008713355
9,drinking_water,0.0084831305
9,low,0.008123584
9,device,0.0073476294
9,performance,0.006750988
9,site,0.0067078993
9,concentration,0.006697461
9,sorbent,0.006077072
9,contamination,0.0060662394
9,remove,0.005989516
9,process,0.0059604356
9,removal,0.0059222775
9,effective,0.005759018
9,manufacturing,0.0056259595
9,new,0.0054944344
9,scale,0.005429035
9,level,0.0053391415
9,solution,0.0051670326
9,public,0.0050740787
9,system,0.005061137
9,testing,0.0050285477
9,target,0.005020563
9,adsorption,0.0048581115
9,reliable,0.0047660884
9,supply,0.004673361
10,health,0.016117638
10,environmental,0.012799494
10,exposure,0.008850457
10,provide,0.008464795
10,tool,0.0065876963
10,kit,0.005941413
10,impact,0.0053635417
10,information,0.0053192396
10,more,0.005082878
10,project,0.0050243624
10,platform,0.0050180596
10,research,0.0047580795
10,risk,0.0045639966
10,base,0.0040489775
10,user,0.0040216222
10,community,0.0040025767
10,assay,0.0039884276
10,conduct,0.003984519
10,damage,0.0039608674
10,science,0.0038936136
10,biomarker,0.0038715876
10,genotoxic,0.003869431
10,environment,0.0038403943
10,population,0.0038370613
10,chemical,0.0038107948
10,propose,0.0037873385
10,student,0.0037750131
10,public,0.0036798273
10,improve,0.0036689858
10,disease,0.0036353734
