topic,keyword,importance
1,propose,0.052984856
1,technique,0.041794542
1,ray,0.04036157
1,project,0.03635971
1,system,0.030948902
1,detector,0.020966267
1,prototype,0.018863207
1,laboratory,0.018641809
1,month,0.018088317
1,capability,0.017746953
1,phase,0.015372751
1,sample,0.015288427
1,instrument,0.014871357
1,several,0.0128706945
1,absorption,0.011544748
1,co,0.011042586
1,fabricate,0.010959648
1,solvent,0.010233881
1,major,0.009874454
1,optic,0.009725346
1,capable,0.009418752
1,energy,0.00937318
1,testing,0.008753818
1,synchrotron,0.007716627
1,evaluate,0.0075993757
1,low,0.0071833655
1,blind,0.0071687247
1,specificity,0.0068849884
1,complete,0.006682656
1,monitoring,0.006642161
2,patient,0.06517547
2,sepsis,0.03970659
2,clinical,0.036637302
2,care,0.019402847
2,cause,0.017986571
2,infection,0.016455637
2,treatment,0.016018065
2,tissue,0.014580586
2,organ,0.013390509
2,death,0.0131836
2,risk,0.012930912
2,mortality,0.012618909
2,safety,0.012113386
2,wound,0.011479433
2,blood,0.011218408
2,therapy,0.010487478
2,treat,0.010189906
2,trial,0.009645449
2,delivery,0.00945552
2,product,0.009359929
2,model,0.008640505
2,regeneration,0.0085981665
2,injury,0.008202347
2,burn,0.008117931
2,response,0.007990892
2,repair,0.0075389934
2,drug,0.007528088
2,efficacy,0.007427728
2,hour,0.0071900887
2,dose,0.0070182025
3,sample,0.04261164
3,detection,0.03647112
3,assay,0.03453419
3,biomarker,0.030907808
3,tissue,0.028112236
3,method,0.02233219
3,quantitative,0.018999238
3,molecular,0.018976117
3,cancer,0.018370632
3,result,0.017404985
3,label,0.016760599
3,disease,0.0165098
3,plasma,0.016489541
3,sensitive,0.015237354
3,measure,0.014482952
3,ultra,0.014286419
3,kit,0.01313916
3,problem,0.011671125
3,detect,0.010907684
3,tumor,0.010450179
3,modification,0.010429803
3,analyze,0.010352761
3,perform,0.009065152
3,validate,0.008964364
3,surface,0.008229358
3,clinical,0.008094239
3,procedure,0.008002185
3,research,0.007956527
3,diagnosis,0.007884742
3,diagnostic,0.007739914
4,imaging,0.034526438
4,probe,0.027619194
4,resolution,0.027184548
4,high,0.022386502
4,experiment,0.022123896
4,image,0.022094386
4,cellular,0.01942151
4,time,0.017874813
4,electron,0.015479344
4,system,0.014795288
4,source,0.013605005
4,water,0.012992495
4,spectroscopy,0.012819791
4,optical,0.012603472
4,microscopy,0.012318334
4,pulse,0.0118332375
4,signal,0.010533001
4,state,0.010078469
4,microscope,0.010068656
4,field,0.010011759
4,laser,0.009888263
4,sensitivity,0.009884032
4,dynamic,0.009329137
4,power,0.009063903
4,such,0.008953917
4,provide,0.008632759
4,emission,0.008122108
4,information,0.008035677
4,advance,0.008025348
4,instrument,0.008004083
5,base,0.08339157
5,design,0.0689577
5,energy,0.044252165
5,computational,0.031847123
5,software,0.03004692
5,provide,0.02354546
5,problem,0.019457612
5,simulation,0.018392347
5,calculation,0.017262666
5,modeling,0.016783781
5,prediction,0.016441103
5,accurate,0.014690265
5,program,0.012783253
5,mining,0.012265548
5,reliable,0.0122442655
5,structure,0.011541177
5,cloud,0.010963413
5,set,0.010655766
5,engine,0.010635336
5,template,0.010046923
5,work,0.009941793
5,disability,0.009474209
5,body,0.009366698
5,accuracy,0.008520501
5,virtual,0.008483606
5,describe,0.0081227645
5,core,0.007868842
5,so,0.007600016
5,function,0.0070962026
5,computer,0.006728336
6,health,0.028390588
6,science,0.01716358
6,experience,0.0161097
6,product,0.015461657
6,program,0.015123595
6,educational,0.013705532
6,content,0.013124696
6,project,0.013029775
6,student,0.0128481295
6,support,0.012322259
6,team,0.011815762
6,training,0.011314892
6,school,0.011219811
6,biomedical,0.010573196
6,career,0.01037312
6,education,0.009877173
6,interactive,0.009605777
6,knowledge,0.009010572
6,game,0.008907442
6,increase,0.008884739
6,technology,0.008124981
6,interest,0.007410633
6,commercialization,0.007328234
6,group,0.0071481946
6,activity,0.00663385
6,curriculum,0.0065476904
6,life,0.0065312786
6,engagement,0.006516968
6,resource,0.0065157907
6,state,0.006429075
7,student,0.14691979
7,learn,0.033928994
7,learning,0.031992037
7,digital,0.025580727
7,classroom,0.024943952
7,educator,0.024805943
7,teacher,0.023112662
7,skill,0.022595437
7,problem,0.022245266
7,feature,0.021490362
7,game,0.019760652
7,solve,0.018803583
7,project,0.018134266
7,create,0.014458596
7,level,0.011587879
7,take,0.01128783
7,role,0.0106988065
7,environment,0.010488949
7,mobile,0.010367998
7,design,0.010038181
7,grade,0.009657904
7,help,0.009516961
7,teach,0.009311712
7,understand,0.009297755
7,address,0.009099473
7,aim,0.008391793
7,fit,0.008093552
7,achievement,0.007896716
7,align,0.0075812186
7,engage,0.0075572114
8,drug,0.10624942
8,target,0.08370549
8,molecule,0.022036824
8,use,0.022022085
8,discovery,0.021855732
8,approach,0.016205912
8,assay,0.01502615
8,compound,0.014740791
8,inhibitor,0.013609564
8,peptide,0.01327728
8,activity,0.013189408
8,screen,0.012735275
8,candidate,0.01216861
8,screening,0.011966234
8,vivo,0.010825908
8,identify,0.010380663
8,lead,0.010041636
8,molecular,0.008635807
8,class,0.008429435
8,toxicity,0.0082165105
8,bind,0.007839315
8,receptor,0.0072883517
8,small,0.0069422224
8,know,0.0066949166
8,liver,0.0062373644
8,chemical,0.0060800356
8,effect,0.0057527814
