topic,keyword,importance
1,health,0.022702908
1,mental,0.015628496
1,intervention,0.015043633
1,treatment,0.014246315
1,youth,0.013670669
1,care,0.01324277
1,training,0.01166807
1,app,0.0069754613
1,service,0.0064401757
1,support,0.0062891366
1,depression,0.0061566066
1,trial,0.0059030266
1,outcome,0.005727215
1,provider,0.0054483716
1,need,0.00539171
1,implementation,0.005291289
1,suicide,0.0049316804
1,family,0.004902716
1,skill,0.0047837365
1,reduce,0.00478204
1,test,0.0046761823
1,evidence,0.004428508
1,receive,0.004427994
1,datum,0.0042100674
1,rate,0.0041962625
1,adolescent,0.0041844505
1,access,0.004170357
1,primary,0.004081855
1,practice,0.0040738545
1,work,0.004024377
2,image,0.021110578
2,brain,0.018631604
2,patient,0.015405854
2,scan,0.014356672
2,more,0.01113301
2,information,0.0101358015
2,time,0.009922167
2,head_motion,0.009781896
2,motion,0.009076925
2,system,0.008970564
2,technology,0.0072285645
2,provide,0.0071185157
2,real,0.0070754415
2,make,0.0064657005
2,acquisition,0.0064585987
2,acquire,0.0058352347
2,head,0.005803275
2,few,0.0057213
2,method,0.0056410227
2,too,0.005445527
2,sample,0.005441933
2,organoid,0.0054074675
2,cost,0.0053500435
2,mri,0.0051965867
2,repeat,0.0051204176
2,result,0.005047381
2,type,0.0049498887
2,propose,0.0048652226
2,sensor,0.004768751
2,goal,0.004707219
3,child,0.018915981
3,system,0.0151262395
3,datum,0.009349987
3,therapy,0.007797341
3,patient,0.0075643943
3,base,0.007307613
3,early,0.0069371164
3,tool,0.0066791237
3,treatment,0.0064284615
3,approach,0.0061836853
3,platform,0.0059637516
3,well,0.00589814
3,model,0.0057978956
3,provide,0.0055858567
3,cost,0.005260494
3,parent,0.0052138628
3,year,0.0051634507
3,set,0.0050982516
3,include,0.0049835313
3,time,0.004750481
3,assessment,0.0046393527
3,placement,0.004588719
3,individual,0.0045008096
3,first,0.0043170527
3,screening,0.004284794
3,functional,0.004252145
3,communication,0.0038871667
3,machine_learn,0.0038198032
3,more,0.0036873885
3,critical,0.003578118
4,animal,0.017656712
4,array,0.015351909
4,probe,0.015229352
4,recording,0.014493002
4,neural,0.014187971
4,electrode,0.013191282
4,design,0.012889773
4,research,0.0107249515
4,implant,0.010175432
4,device,0.009994191
4,capability,0.009871006
4,small,0.009141574
4,advanced,0.008986464
4,functionality,0.008217751
4,aim,0.008072533
4,stimulation,0.00788457
4,rodent,0.007823982
4,work,0.00770701
4,study,0.0075502223
4,high,0.007335092
4,enable,0.0070904493
4,brain,0.00703496
4,neural_circuit,0.0061281216
4,human,0.0056137964
4,wireless,0.0052654934
4,neuroscience,0.0052428013
4,vivo,0.005169873
4,channel,0.004907767
4,response,0.004825361
4,cable,0.004815998
5,clinical,0.016870227
5,patient,0.013822212
5,system,0.012815897
5,adult,0.012305013
5,project,0.010243668
5,brain,0.009427935
5,support,0.008420325
5,care,0.007849009
5,neonatal,0.007838895
5,adherence,0.0073393993
5,risk,0.007330976
5,research,0.0069907107
5,imaging,0.006822283
5,hospital,0.006309672
5,human,0.0061498457
5,functional,0.0059404015
5,safe,0.0059158993
5,validate,0.0053674206
5,well,0.005307474
5,individual,0.005190614
5,test,0.0051841736
5,pediatric,0.00517605
5,low,0.0051145856
5,detection,0.005113279
5,hypothesize,0.0050945077
5,connectome,0.004786755
5,unit,0.0047434396
5,suicide,0.004597211
5,goal,0.00450872
5,exist,0.004442872
6,drug,0.020143652
6,target,0.01956183
6,human,0.013880185
6,therapeutic,0.011768823
6,cell,0.011569343
6,compound,0.010794041
6,disease,0.010682217
6,assay,0.00927555
6,effect,0.008811236
6,brain,0.008466633
6,identify,0.008336744
6,circuit,0.008141253
6,gene,0.008061932
6,base,0.0073653213
6,activity,0.0072662234
6,development,0.007256856
6,mouse,0.0072077867
6,preclinical,0.0067699985
6,novel,0.0064970325
6,study,0.006469923
6,receptor,0.006353788
6,discovery,0.006259342
6,test,0.0062346496
6,like,0.0060542626
6,single,0.0060453457
6,new,0.0056633684
6,non,0.005603647
6,lead,0.005550952
6,model,0.005490727
6,treatment,0.005367684
7,patient,0.022047091
7,device,0.013131727
7,system,0.012305738
7,time,0.011007206
7,therapist,0.0103914
7,high,0.010229537
7,quality,0.009634999
7,provider,0.0074989772
7,model,0.0074483617
7,assess,0.006893571
7,platform,0.0067754523
7,design,0.006473055
7,most,0.0063380934
7,associate,0.006301208
7,objective,0.006283366
7,user,0.0062730988
7,technology,0.0060524526
7,medication,0.0058696354
7,record,0.005636923
7,control,0.005595936
7,deploy,0.005330831
7,solution,0.004895779
7,participant,0.004847423
7,predictive,0.004789665
7,study,0.004690616
7,build,0.0046200957
7,standard,0.0044953823
7,testing,0.004447636
7,proposal,0.004411275
7,evaluate,0.0043627108
8,cell,0.045888208
8,neuron,0.027938824
8,adjuvant,0.017186433
8,channel,0.016831808
8,recording,0.015351421
8,response,0.014808309
8,trimer,0.012642428
8,neural,0.010772964
8,stimulate,0.009205558
8,probe,0.009149018
8,potential,0.008839611
8,assay,0.00844116
8,vaccine,0.007800307
8,elicit,0.007737085
8,black,0.007483799
8,datum,0.007389996
8,temporal_resolution,0.00692039
8,fusion,0.006887062
8,balance,0.00682826
8,fluorescent,0.006749796
8,infect,0.006328109
8,immunogen,0.0063258186
8,need,0.0061624898
8,combination,0.0058627124
8,activity,0.005430662
8,pair,0.005203538
8,experiment,0.0048767603
8,headstage,0.0048644063
8,arv,0.004831143
8,signal,0.004703558
9,stimulation,0.01771877
9,depression,0.015317745
9,device,0.013108169
9,treatment,0.012410091
9,study,0.012111271
9,integrate,0.010520279
9,behavior,0.009774213
9,goal,0.009273964
9,work,0.009189937
9,feasibility,0.009043043
9,establish,0.008752712
9,closed_loop_tac,0.0085401675
9,develop,0.008355629
9,causal,0.007926585
9,brain,0.00786094
9,sensor,0.007771733
9,cloud,0.0076732524
9,role,0.0073442254
9,dynamic,0.0073061585
9,adapt,0.007217797
9,evaluate,0.006977273
9,invasive,0.006794425
9,application,0.0067756637
9,specific,0.006622717
9,give,0.0065239687
9,non,0.0061059664
9,measure,0.006097356
9,location,0.0059631756
9,apply,0.0059517804
9,strategy,0.00592105
10,brain,0.03367013
10,imaging,0.025584994
10,high,0.016066303
10,technology,0.0123306
10,resolution,0.011294281
10,image,0.01077801
10,neuronal,0.0107159875
10,neuron,0.010367659
10,speed,0.009248312
10,tissue,0.008361145
10,microscope,0.0077867624
10,neuroscience,0.0073283254
10,new,0.0072713313
10,novel,0.007060197
10,software,0.006940887
10,optical,0.0066146352
10,large,0.006090434
10,function,0.0055583995
10,technique,0.0054671816
10,whole,0.0054423786
10,activity,0.005410392
10,product,0.005407239
10,system,0.0052308827
10,prototype,0.005137723
10,demonstrate,0.0049309465
10,signal,0.004867587
10,lab,0.004850863
10,perform,0.004739929
10,fluorescence,0.004446762
10,molecular,0.0044289716
