topic,keyword,importance
1,treatment,0.043276045
1,care,0.035555493
1,depression,0.030343372
1,adolescent,0.01784015
1,datum,0.017381653
1,base,0.015452324
1,referral,0.014753368
1,system,0.014488677
1,primary,0.014347468
1,study,0.013396815
1,trial,0.012882506
1,feasibility,0.011607064
1,efficacy,0.0113427155
1,model,0.010865375
1,home,0.010785546
1,improve,0.010635241
1,lack,0.010253662
1,application,0.00904621
1,healthcare,0.00867445
1,participant,0.008638719
1,determine,0.008580026
1,integrate,0.00835681
1,platform,0.008213418
1,completion,0.00813885
1,deliver,0.007944084
1,remote,0.007931351
1,week,0.0078063407
1,patient,0.0076297442
1,pilot,0.007358318
1,clinical,0.0071874475
2,target,0.01973119
2,effective,0.015219865
2,human,0.014325278
2,system,0.013880729
2,new,0.013422122
2,individual,0.012976513
2,more,0.012584438
2,antibody,0.012360855
2,receptor,0.0123005025
2,surface,0.011470004
2,base,0.011450854
2,peptide,0.011126474
2,non,0.010721952
2,treatment,0.010678678
2,binge_eat,0.009144126
2,provide,0.00908516
2,bind,0.008824068
2,permit,0.008764734
2,project,0.00838392
2,like,0.008009676
2,therapeutic,0.007996451
2,proposal,0.007934335
2,mammalian,0.00728219
2,phase,0.0072512305
2,development,0.0069327033
2,molecule,0.0068545085
2,solve,0.006650054
2,plate,0.0066338815
2,number,0.0062698545
2,extend,0.0058449856
3,child,0.02395472
3,tool,0.017735058
3,patient,0.017419089
3,method,0.011717275
3,analysis,0.010943597
3,screening,0.010720727
3,model,0.01052423
3,early,0.01050242
3,year,0.010252475
3,well,0.009663312
3,identify,0.008839113
3,highly,0.008262741
3,include,0.008009469
3,assessment,0.007736106
3,cognitive,0.007662697
3,set,0.0075312397
3,communication,0.0074873585
3,previous,0.0068783183
3,more,0.0062575466
3,detection,0.006106313
3,machine_learn,0.006019715
3,diagnostic,0.005998087
3,decision,0.005723921
3,level,0.0056177457
3,biomarker,0.0054633175
3,potential,0.005412215
3,finding,0.005268449
3,feasibility,0.0052066282
3,success,0.005127502
3,human,0.0051117013
4,research,0.031773444
4,image,0.026706597
4,technology,0.025033707
4,collaboration,0.022568353
4,work,0.020224163
4,ability,0.020050848
4,perform,0.01946345
4,datum,0.019358993
4,compete,0.01646768
4,neuroscience,0.016023353
4,focus,0.015238827
4,scientific,0.014794075
4,include,0.014566357
4,functionality,0.014468832
4,as,0.0134065915
4,innovation,0.013277237
4,complex,0.013238616
4,software,0.0130140195
4,ultimately,0.011725867
4,domain,0.011395866
4,breadth,0.011355681
4,novel,0.011272461
4,lab,0.009760133
4,institute,0.009541006
4,raw,0.009510226
4,original,0.009457651
4,base,0.008804213
4,promote,0.008795863
4,full,0.008724336
4,potency,0.008067829
5,adherence,0.014729955
5,risk,0.01364858
5,clinical,0.013516625
5,project,0.0134604415
5,test,0.0127543425
5,base,0.012654647
5,inform,0.010647878
5,system,0.00977228
5,well,0.009770658
5,support,0.009637001
5,suicide,0.009404754
5,healthcare,0.008759873
5,patient,0.008632552
5,measure,0.008596453
5,datum,0.008565991
5,individual,0.008495364
5,monitoring,0.007322075
5,workflow,0.007303589
5,monitor,0.0069890236
5,location,0.0069646337
5,exist,0.006763872
5,team,0.006416041
5,performance,0.0061722114
5,care,0.006115196
5,establish,0.0057099587
5,screening,0.0055213002
5,reminder,0.0054131406
5,detect,0.0053944616
5,aim,0.0053549414
5,health,0.0052976944
6,drug,0.03299011
6,preclinical,0.02090187
6,effect,0.018491432
6,study,0.015297851
6,molecular,0.0149292825
6,lead,0.014909085
6,disease,0.012480848
6,antidepressant,0.010995881
6,mouse,0.010627434
6,associate,0.010069154
6,target,0.009652809
6,human,0.009539833
6,compound,0.009483231
6,treatment,0.009297038
6,like,0.008824297
6,include,0.008727179
6,show,0.008376242
6,focus,0.007996438
6,novel,0.007790523
6,acute,0.0075168908
6,candidate,0.0075076087
6,ability,0.007495254
6,successful_completion,0.007299421
6,clinical,0.007293665
6,therapeutic,0.007119355
6,aim,0.0069049066
6,efficacy,0.006733109
6,biomarker,0.0066466476
6,pathway,0.0063120844
6,cns,0.0061871875
7,high,0.041466523
7,integrate,0.013401443
7,design,0.012282197
7,probe,0.012102742
7,array,0.012090864
7,datum,0.01203908
7,device,0.01196558
7,animal,0.010604028
7,achieve,0.0093992995
7,time,0.009249195
7,density,0.008728626
7,result,0.008439
7,acquisition,0.00795535
7,allow,0.0075649424
7,technology,0.007511959
7,software,0.007295744
7,head,0.007049909
7,interface,0.006792704
7,testing,0.006731536
7,signal,0.0066904766
7,propose,0.006537392
7,study,0.0065125856
7,different,0.006221342
7,performance,0.0061721923
7,cost,0.0060891295
7,aim,0.005788657
7,neuron,0.0056712823
7,sensor,0.0054482366
7,human,0.0053538745
7,build,0.0053013684
8,cell,0.078244545
8,neuron,0.035455737
8,assay,0.02719191
8,response,0.02562898
8,compound,0.01882695
8,target,0.018692167
8,drug,0.018375207
8,potential,0.015998797
8,disease,0.013818636
8,therapeutic,0.013140229
8,sensor,0.012370077
8,discovery,0.011371634
8,stimulate,0.010327661
8,platform,0.009816925
8,advanced,0.00961505
8,elicit,0.009586023
8,identify,0.009515236
8,screen,0.0093549965
8,signal,0.009333059
8,model,0.0089069
8,temporal_resolution,0.008756622
8,fusion,0.0087134205
8,balance,0.008639149
8,fluorescent,0.008540119
8,spatial_resolution,0.008195902
8,voltage,0.008140751
8,immunogen,0.007999889
8,phenotype,0.007840897
8,phenotypic,0.0076830923
8,combination,0.0075126644
9,stimulation,0.026823582
9,device,0.018295
9,dynamic,0.015250207
9,work,0.0142670125
9,role,0.01404112
9,brain,0.013907594
9,study,0.012642006
9,enable,0.012619677
9,goal,0.010740155
9,causal,0.010417698
9,cloud,0.009662813
9,establish,0.009642406
9,non,0.009324986
9,specific,0.008940225
9,activity,0.008629057
9,capability,0.0083852885
9,site,0.0082023535
9,apply,0.007594567
9,give,0.007217916
9,solution,0.007049909
9,invasive,0.0070384033
9,depression,0.0069451733
9,research,0.0068988586
9,innovative,0.0067514377
9,functionality,0.006533589
9,co,0.006463501
9,target,0.0063731456
9,location,0.0061681606
9,carry,0.005992723
9,cable,0.005881723
10,system,0.045185618
10,imaging,0.030486114
10,brain,0.02859057
10,adult,0.016485523
10,image,0.014662459
10,project,0.014579143
10,functional,0.010880472
10,patient,0.010599938
10,neonatal,0.010457846
10,clinical,0.01034066
10,human,0.009446672
10,quality,0.009398197
10,safe,0.009272706
10,research,0.008834345
10,pediatric,0.008221185
10,study,0.007786182
10,optical,0.007468634
10,care,0.007288862
10,mapping,0.006668836
10,subject,0.0066290824
10,whole,0.006435732
10,make,0.006393134
10,connectome,0.006384839
10,low,0.0062065003
10,multiple,0.006140287
10,disorder,0.006050504
10,validate,0.005965688
10,magnetic_resonance,0.005843186
10,compact,0.005815467
10,hospital,0.0058059413
11,recording,0.11838246
11,neural,0.0926881
