topic,keyword,importance
1,brain,0.01727032
1,stroke,0.016233793
1,injury,0.01622239
1,long_term,0.012158215
1,therapeutic,0.0101952525
1,acute,0.009733385
1,patient,0.0074705146
1,rat,0.0074102273
1,therapy,0.007111338
1,ischemic_stroke,0.006939877
1,induce,0.0064153746
1,effect,0.00641391
1,infant,0.0063949157
1,cause,0.0060876533
1,outcome,0.005772006
1,recovery,0.00551258
1,post,0.005126669
1,reduce,0.0049537104
1,drug,0.0049408753
1,affect,0.0049252375
1,disability,0.0048444197
1,damage,0.0046595456
1,stimulation,0.0046240888
1,cognitive,0.0046228888
1,neurological,0.004569094
1,dose,0.0045673703
1,delivery,0.0043138894
1,improve,0.004309943
1,about,0.004251337
1,stimulate,0.004155163
2,protein,0.0141263
2,drug,0.012945721
2,disease,0.011148159
2,cell,0.009844384
2,expression,0.00840872
2,target,0.0075396574
2,mouse,0.0066239717
2,treatment,0.006252235
2,efficacy,0.00601392
2,model,0.005981672
2,candidate,0.005857535
2,increase,0.0058120396
2,compound,0.0055383896
2,symptom,0.005308961
2,activation,0.0050694654
2,study,0.004975159
2,signal,0.0047567156
2,phase,0.004665538
2,dose,0.0046446337
2,anti,0.004641956
2,identify,0.0046144915
2,lead,0.0045146886
2,show,0.0045071193
2,demonstrate,0.004505124
2,impact,0.0044724178
2,nf,0.004272011
2,preclinical,0.0041561136
2,risk,0.0038173865
2,rat,0.0037269061
2,type,0.0036626332
3,disease,0.025588218
3,therapeutic,0.012837345
3,model,0.011172171
3,target,0.010330595
3,cell,0.010279517
3,gene,0.01016792
3,molecule,0.0085359365
3,inhibitor,0.008472802
3,drug,0.0075827823
3,identify,0.006667455
3,compound,0.0066390703
3,more,0.006166952
3,human,0.005152536
3,neuropathic_pain,0.0050155134
3,aim,0.005008044
3,result,0.0047523994
3,development,0.0046764766
3,assay,0.0046671256
3,specific,0.0046343985
3,thrombolysis,0.0044907066
3,delivery,0.004474497
3,neuron,0.004422921
3,approach,0.004420577
3,early,0.004364483
3,form,0.004279972
3,platform,0.00427689
3,cause,0.0041710013
3,small,0.0041648718
3,project,0.004104975
3,genetic,0.004059596
4,nerve,0.027301911
4,cell,0.01233187
4,injury,0.0111641325
4,surgery,0.008650872
4,product,0.0071651423
4,ultrasound,0.0071331216
4,functional,0.00686407
4,patient,0.006652757
4,surgical,0.0065329606
4,tissue,0.0062921303
4,shunt,0.006216763
4,reduce,0.005306769
4,fmri,0.004950533
4,recovery,0.0044989632
4,device,0.004498278
4,axon,0.0041837296
4,repair,0.0041580554
4,mapping,0.003849225
4,research,0.0037316734
4,model,0.0037209832
4,non,0.0035631275
4,organoid,0.0032922486
4,catheter,0.0032880798
4,localization,0.0032009243
4,intraoperative,0.003170681
4,criterion,0.0031464798
4,blood,0.003137093
4,pressure,0.0031240145
4,improve,0.0030280473
4,block,0.003020167
5,clinical,0.018201085
5,system,0.012250485
5,device,0.011115217
5,patient,0.006253594
5,motor,0.0059799454
5,project,0.0049961256
5,care,0.0047758115
5,stroke,0.0047404747
5,year,0.004651924
5,product,0.004622905
5,risk,0.004543556
5,design,0.0043185255
5,test,0.004259902
5,trial,0.0042592715
5,flow,0.004020659
5,sensor,0.0039500333
5,require,0.00378827
5,team,0.0037415777
5,field,0.003700568
5,market,0.0036071932
5,time,0.0035646898
5,outcome,0.0035157835
5,shunt,0.0034884536
5,task,0.0033587285
5,improve,0.003345442
5,individual,0.0032660002
5,program,0.0032618968
5,development,0.0032440245
5,first,0.0032302754
5,complete,0.0031502163
6,seizure,0.037121434
6,epilepsy,0.019644044
